rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Panama,PAN,63.6284,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Panama,PAN,3.82500005,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Panama,PAN,83.3154589674842,proportion,2017.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Panama,PAN,7.93,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Panama,PAN,2064.175797135069,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Panama,PAN,48.0,score,2021.0
7,Social issues ,Coverage of unemployment benefits and ALMP (% of population),C2_Workplace closing,Panama,PAN,1.275084594,proportion,2018.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Panama,PAN,27.75835275835276,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Panama,PAN,29.78,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Panama,PAN,0.082991,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Panama,PAN,13.5281,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Panama,PAN,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Panama,PAN,88.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Panama,PAN,3.0741,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Panama,PAN,6.179599761962891,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Panama,PAN,48.49,percent,2018.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Panama,PAN,6.915306915306915,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Panama,PAN,9.622253,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Panama,PAN,0.117177,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Panama,PAN,0.000247,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Panama,PAN,56000.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Panama,PAN,0.039188,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Panama,PAN,66.5429993,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Panama,PAN,741269.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Panama,PAN,11.40005,micrograms per cubic meter,2017.0
26,Demographics,"Population, total",C2_Workplace closing,Panama,PAN,4246439.0,total,2019.0
27,Economics,Volume of imports,C2_Workplace closing,Panama,PAN,7.538,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Panama,PAN,53.4350014,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Panama,PAN,1893.115619934727,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Panama,PAN,25.7936516382322,percent of GNI,2018.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Panama,PAN,469000000.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Panama,PAN,1.5687,Ones,2016.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Panama,PAN,-0.119035,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Panama,PAN,-0.579924,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Panama,PAN,4.6,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Panama,PAN,21.2341523445028,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Panama,PAN,0.001417,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Panama,PAN,67.4940033,Percentage of total employment,2020.0
39,Economics,Volume of exports,C2_Workplace closing,Panama,PAN,7.271,percent change,2020.0
