rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Philippines,PHL,43.0266,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Philippines,PHL,2.16400003,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Philippines,PHL,76.5335020674233,proportion,2017.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Philippines,PHL,6.37,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Philippines,PHL,696.346780059737,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Philippines,PHL,31.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Philippines,PHL,7.14207709948673,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Philippines,PHL,43.54,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Philippines,PHL,0.035018,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Philippines,PHL,3.86511,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Philippines,PHL,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Philippines,PHL,65.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Philippines,PHL,4.9351,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Philippines,PHL,5.880199909210205,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Philippines,PHL,52.65,percent,2018.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Philippines,PHL,44.51482169075267,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Philippines,PHL,30.19209,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Philippines,PHL,0.095396,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Philippines,PHL,0.000182,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Philippines,PHL,-335758.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Philippines,PHL,0.045941,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Philippines,PHL,59.6549988,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Philippines,PHL,4165210.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Philippines,PHL,18.0698,micrograms per cubic meter,2017.0
26,Demographics,"Population, total",C2_Workplace closing,Philippines,PHL,108116615.0,total,2019.0
27,Economics,Volume of imports,C2_Workplace closing,Philippines,PHL,13.351,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Philippines,PHL,46.1949997,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Philippines,PHL,111.3149907625206,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Philippines,PHL,20.9724077138032,percent of GNI,2018.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Philippines,PHL,12279000000.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Philippines,PHL,0.6004,Ones,2017.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Philippines,PHL,-0.4773007,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Philippines,PHL,-0.5733455,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Philippines,PHL,1.4,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Philippines,PHL,27.4515444500126,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Philippines,PHL,0.002651,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Philippines,PHL,57.6349983,Percentage of total employment,2020.0
39,Economics,Volume of exports,C2_Workplace closing,Philippines,PHL,12.573,percent change,2020.0
40,Environment,Fossil fuel energy consumption,C2_Workplace closing,Philippines,PHL,62.4349,percent of total,2014.0
41,Governance,Fragile States Index Total ,C2_Workplace closing,Philippines,PHL,80.99999999999999,score,2020.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Philippines,PHL,8875.0,"Number (cumulative total by Dec 26,2020)",2020.0
43,Economics,Expenditure on social protection (% of GDP),C2_Workplace closing,Philippines,PHL,2.22247,percent,2019.0
44,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Philippines,PHL,25.0,score,2021.0
45,Governance,Total freedom in the world score ,C2_Workplace closing,Philippines,PHL,56.0,score,2021.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Philippines,PHL,0.2,percent,2019.0
47,Governance,Economic Freedom Score,C2_Workplace closing,Philippines,PHL,7.43,score,2018.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Philippines,PHL,122287.1,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Philippines,PHL,154.761,per 100 people,2019.0
51,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Philippines,PHL,67.0,percent,2019.0
52,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Philippines,PHL,6.4649881651,"proportion, pero 100,000 people",2018.0
53,Governance,Regulatory quality estimate,C2_Workplace closing,Philippines,PHL,0.0093082,score,2019.0
54,Governance,Voice and accountability estimate,C2_Workplace closing,Philippines,PHL,0.0301842,score,2019.0
55,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Philippines,PHL,74.56347906276922,percent of total,2015.0
