rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,North Korea,PRK,0.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,North Korea,PRK,2.76399994,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,North Korea,PRK,83.1584104616353,proportion,2017.0
5,Environment,Electric power consumption ,C2_Workplace closing,North Korea,PRK,601.6900478542528,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,North Korea,PRK,3.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,North Korea,PRK,5.918322777899104,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,North Korea,PRK,85.82,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,North Korea,PRK,0.056189,percent,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,North Korea,PRK,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,North Korea,PRK,97.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,North Korea,PRK,4.4489,Ones,2017.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,North Korea,PRK,21.28557909296062,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,North Korea,PRK,29.74691,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,North Korea,PRK,0.105568,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,North Korea,PRK,0.000112,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,North Korea,PRK,-27013.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,North Korea,PRK,0.039631,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,North Korea,PRK,80.2720032,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,North Korea,PRK,1180000.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,North Korea,PRK,32.00745,micrograms per cubic meter,2017.0
26,Demographics,"Population, total",C2_Workplace closing,North Korea,PRK,25666161.0,total,2019.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,North Korea,PRK,73.2990036,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,North Korea,PRK,0.0393236566989717,per 1 million people,2017.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,North Korea,PRK,0.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,North Korea,PRK,3.6834,Ones,2017.0
33,Governance,Rule of law estimate ,C2_Workplace closing,North Korea,PRK,-1.651461,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,North Korea,PRK,-1.589358,score,2019.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,North Korea,PRK,23.1232614917341,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,North Korea,PRK,0.00256,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,North Korea,PRK,35.6580009,Percentage of total employment,2020.0
