rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Rwanda,RWA,21.7676,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Rwanda,RWA,1.04100001,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Rwanda,RWA,6.54,score,2018.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Rwanda,RWA,13.0,score,2021.0
9,Social issues ,Press freedom score,C2_Workplace closing,Rwanda,RWA,50.34,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Rwanda,RWA,0.018783,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Rwanda,RWA,0.0703654,per 100 people,2019.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Rwanda,RWA,98.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Rwanda,RWA,1.2044,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Rwanda,RWA,3.4147000312805176,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Rwanda,RWA,31.94,percent,2018.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Rwanda,RWA,13.14421,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Rwanda,RWA,0.038569,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Rwanda,RWA,0.000161,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Rwanda,RWA,-44998.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Rwanda,RWA,0.035126,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Rwanda,RWA,83.6309967,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Rwanda,RWA,11393.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Rwanda,RWA,43.21022,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Rwanda,RWA,7.152,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Rwanda,RWA,83.9499969,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Rwanda,RWA,71.276119728042,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Rwanda,RWA,-2.82916073005318,percent of GNI,2018.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Rwanda,RWA,0.134,Ones,2018.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Rwanda,RWA,0.0761882,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Rwanda,RWA,0.564346,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Rwanda,RWA,2.4,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Rwanda,RWA,86.6553742907747,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Rwanda,RWA,0.001064,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Rwanda,RWA,29.2329998,Percentage of total employment,2020.0
39,Economics,Volume of exports,C2_Workplace closing,Rwanda,RWA,8.842,percent change,2020.0
41,Governance,Fragile States Index Total ,C2_Workplace closing,Rwanda,RWA,86.02952230051775,score,2020.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Rwanda,RWA,57.0,"Number (cumulative total by Dec 26,2020)",2020.0
44,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Rwanda,RWA,8.0,score,2021.0
45,Governance,Total freedom in the world score ,C2_Workplace closing,Rwanda,RWA,21.0,score,2021.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Rwanda,RWA,2.6,percent,2019.0
47,Governance,Economic Freedom Score,C2_Workplace closing,Rwanda,RWA,7.39,score,2018.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Rwanda,RWA,1114.768,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Rwanda,RWA,76.4915,per 100 people,2019.0
51,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Rwanda,RWA,96.0,percent,2019.0
52,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Rwanda,RWA,2.5771686082,"proportion, pero 100,000 people",2015.0
53,Governance,Regulatory quality estimate,C2_Workplace closing,Rwanda,RWA,0.0773843,score,2019.0
54,Governance,Voice and accountability estimate,C2_Workplace closing,Rwanda,RWA,-1.079368,score,2019.0
56,Governance,Human Development Index,C2_Workplace closing,Rwanda,RWA,0.543,index,2019.0
57,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Rwanda,RWA,32.6,percent,2020.0
58,Health,Prevalence of Depressive disorders,C2_Workplace closing,Rwanda,RWA,0.041987,percent,2019.0
59,Health,Prevalence of obesity,C2_Workplace closing,Rwanda,RWA,5.8,percent,2016.0
