rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Togo,TGO,12.3602,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Togo,TGO,2.00500011,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Togo,TGO,6.01,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Togo,TGO,154.6652373207778,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Togo,TGO,28.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Togo,TGO,24.69135802469136,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Togo,TGO,29.33,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Togo,TGO,0.016206,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Togo,TGO,0.394674,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Togo,TGO,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Togo,TGO,84.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Togo,TGO,0.4102,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Togo,TGO,4.106800079345703,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Togo,TGO,29.84,percent,2015.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Togo,TGO,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Togo,TGO,13.87609,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Togo,TGO,0.042989,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Togo,TGO,0.000161,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Togo,TGO,-9999.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Togo,TGO,0.034472,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Togo,TGO,77.473999,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Togo,TGO,43605.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Togo,TGO,35.73134,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Togo,TGO,7.106,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Togo,TGO,76.0569992,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Togo,TGO,19.67245729777642,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Togo,TGO,1.0887765083884,percent of GNI,2018.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Togo,TGO,5000000.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Togo,TGO,0.0774,Ones,2018.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Togo,TGO,-0.5887967,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Togo,TGO,-0.7497168,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Togo,TGO,1.1,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Togo,TGO,71.2646671412409,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Togo,TGO,0.000863,percent,2019.0
