rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Trinidad and Tobago,TTO,77.3261,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Trinidad and Tobago,TTO,2.79500008,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Trinidad and Tobago,TTO,93.3989059531058,proportion,2017.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Trinidad and Tobago,TTO,7.0,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Trinidad and Tobago,TTO,7092.932611634964,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Trinidad and Tobago,TTO,49.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Trinidad and Tobago,TTO,0.2330097087378641,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Trinidad and Tobago,TTO,23.22,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Trinidad and Tobago,TTO,0.152157,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Trinidad and Tobago,TTO,24.7127,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Trinidad and Tobago,TTO,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Trinidad and Tobago,TTO,93.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Trinidad and Tobago,TTO,4.0934,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Trinidad and Tobago,TTO,6.191859722137451,score,2017.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Trinidad and Tobago,TTO,44.51,percent,2016.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Trinidad and Tobago,TTO,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Trinidad and Tobago,TTO,16.79288,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Trinidad and Tobago,TTO,0.117279,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Trinidad and Tobago,TTO,0.000289,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Trinidad and Tobago,TTO,-3999.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Trinidad and Tobago,TTO,0.043509,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Trinidad and Tobago,TTO,59.526001,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Trinidad and Tobago,TTO,343385.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Trinidad and Tobago,TTO,24.10857,micrograms per cubic meter,2017.0
26,Demographics,"Population, total",C2_Workplace closing,Trinidad and Tobago,TTO,1394973.0,total,2019.0
27,Economics,Volume of imports,C2_Workplace closing,Trinidad and Tobago,TTO,1.257,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Trinidad and Tobago,TTO,49.8069992,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Trinidad and Tobago,TTO,312.5508522387172,per 1 million people,2019.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Trinidad and Tobago,TTO,0.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Trinidad and Tobago,TTO,4.1675,Ones,2018.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Trinidad and Tobago,TTO,-0.1202659,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Trinidad and Tobago,TTO,-0.1913557,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Trinidad and Tobago,TTO,3.4,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Trinidad and Tobago,TTO,0.284205763881456,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Trinidad and Tobago,TTO,0.003378,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Trinidad and Tobago,TTO,70.4639969,Percentage of total employment,2020.0
39,Economics,Volume of exports,C2_Workplace closing,Trinidad and Tobago,TTO,2.909,percent change,2020.0
40,Environment,Fossil fuel energy consumption,C2_Workplace closing,Trinidad and Tobago,TTO,99.91951,percent of total,2014.0
41,Governance,Fragile States Index Total ,C2_Workplace closing,Trinidad and Tobago,TTO,51.9451410707907,score,2020.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Trinidad and Tobago,TTO,123.0,"Number (cumulative total by Dec 26,2020)",2020.0
44,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Trinidad and Tobago,TTO,33.0,score,2021.0
45,Governance,Total freedom in the world score ,C2_Workplace closing,Trinidad and Tobago,TTO,82.0,score,2021.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Trinidad and Tobago,TTO,0.7,percent,2019.0
47,Governance,Economic Freedom Score,C2_Workplace closing,Trinidad and Tobago,TTO,7.26,score,2018.0
48,Governance,Serious assault (rate),C2_Workplace closing,Trinidad and Tobago,TTO,43.79,rate,2015.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Trinidad and Tobago,TTO,43868.32,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Trinidad and Tobago,TTO,155.109,per 100 people,2019.0
51,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Trinidad and Tobago,TTO,99.0,percent,2019.0
52,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Trinidad and Tobago,TTO,30.649506835,"proportion, pero 100,000 people",2015.0
53,Governance,Regulatory quality estimate,C2_Workplace closing,Trinidad and Tobago,TTO,-0.150986,score,2019.0
54,Governance,Voice and accountability estimate,C2_Workplace closing,Trinidad and Tobago,TTO,0.6249191,score,2019.0
55,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Trinidad and Tobago,TTO,100.0,percent of total,2015.0
56,Governance,Human Development Index,C2_Workplace closing,Trinidad and Tobago,TTO,0.796,index,2019.0
57,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Trinidad and Tobago,TTO,8.7,percent,2020.0
58,Health,Prevalence of Depressive disorders,C2_Workplace closing,Trinidad and Tobago,TTO,0.045232,percent,2019.0
59,Health,Prevalence of obesity,C2_Workplace closing,Trinidad and Tobago,TTO,18.6,percent,2016.0
61,Environment,Combustible renewables and waste,C2_Workplace closing,Trinidad and Tobago,TTO,0.060359,percent of total energy,2014.0
63,Demographics,"Age dependency ratio, old (% of working-age population)",C2_Workplace closing,Trinidad and Tobago,TTO,16.2024322034518,proportion,2019.0
64,Environment,"Energy imports, net ",C2_Workplace closing,Trinidad and Tobago,TTO,-102.6627373304638,percent of energy use,2014.0
65,Health,Prevalence of total cancers,C2_Workplace closing,Trinidad and Tobago,TTO,0.012925,percent,2019.0
