rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Micronesia,FSM,35.3041,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Micronesia,FSM,88.3093315478836,proportion,2017.0
3,Governance,Regulatory quality estimate,C3_Cancel public events,Micronesia,FSM,-0.9603013,score,2019.0
5,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Micronesia,FSM,6947.0,number,2019.0
8,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Micronesia,FSM,20.26,percent,2014.0
10,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Micronesia,FSM,0.096116,percent,2019.0
12,Health,Prevalence of Diabetes,C3_Cancel public events,Micronesia,FSM,0.105494,percent,2019.0
13,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Micronesia,FSM,3.38779,per 100 people,2019.0
14,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Micronesia,FSM,100.0,Cases,2019.0
15,Health,Mortality due to COVID-19,C3_Cancel public events,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Micronesia,FSM,78.0,percent,2019.0
19,Health,Summary exposure value tobacco,C3_Cancel public events,Micronesia,FSM,25.30581,Rate (risk-weighted prevalence),2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Micronesia,FSM,78.0,percent,2019.0
22,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Micronesia,FSM,0.0,proportion,2020.0
23,Governance,Control of corruption estimate,C3_Cancel public events,Micronesia,FSM,0.7497162,score,2019.0
24,Social issues ,Net migration,C3_Cancel public events,Micronesia,FSM,-2999.0,net total / data are 5 year estimates,2019.0
26,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Micronesia,FSM,0.001935,percent,2019.0
28,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Micronesia,FSM,0.414042,percent,2019.0
30,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Micronesia,FSM,2.0426,Ones,2018.0
31,Environment,CO2 emissions (kt),C3_Cancel public events,Micronesia,FSM,143.013,kt,2016.0
32,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Micronesia,FSM,0.9964124,score,2019.0
33,Demographics,Secure Internet servers ,C3_Cancel public events,Micronesia,FSM,210.8685146948996,per 1 million people,2019.0
37,Governance,Government effectiveness estimate,C3_Cancel public events,Micronesia,FSM,-0.1870816,score,2019.0
39,Health,Prevalence of anxiety disorders,C3_Cancel public events,Micronesia,FSM,0.041918,percent,2019.0
44,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Micronesia,FSM,3.3,percent,2018.0
46,Demographics,Refugee population by country or territory of asylum,C3_Cancel public events,Micronesia,FSM,5.0,proportion,2016.0
47,Governance,Total freedom in the world score ,C3_Cancel public events,Micronesia,FSM,92.0,score,2021.0
50,Health,Prevalence of total cancers,C3_Cancel public events,Micronesia,FSM,0.006194,percent,2019.0
54,Economics,"International tourism, receipts",C3_Cancel public events,Micronesia,FSM,25000000.0,US Dollar,2015.0
56,Health,Prevalence of COVID-19,C3_Cancel public events,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Economics,"Central government debt, total",C3_Cancel public events,Micronesia,FSM,25.39177741153753,percent of GDP,2016.0
58,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Micronesia,FSM,11.2834,micrograms per cubic meter,2017.0
59,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Micronesia,FSM,20.7377,per 100 people,2019.0
62,Health,Prevalence of obesity,C3_Cancel public events,Micronesia,FSM,45.8,percent,2016.0
65,Governance,Voice and accountability estimate,C3_Cancel public events,Micronesia,FSM,1.094265,score,2019.0
67,Health,Prevalence of down syndrome,C3_Cancel public events,Micronesia,FSM,0.00017,percent,2019.0
68,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Micronesia,FSM,1.297582,metric tons per capita,2016.0
69,Demographics,Urban population (% of total population),C3_Cancel public events,Micronesia,FSM,22.812,total,2019.0
70,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Micronesia,FSM,37.0,score,2021.0
71,Economics,"Foreign direct investment, net",C3_Cancel public events,Micronesia,FSM,800000.0,US Dollar,2015.0
73,Economics,Unemployment rate (%) - Annual,C3_Cancel public events,Micronesia,FSM,9.1,percent,2014.0
74,Governance,Human Development Index,C3_Cancel public events,Micronesia,FSM,0.62,index,2019.0
76,Governance,Fragile States Index Total ,C3_Cancel public events,Micronesia,FSM,71.23563007855653,score,2020.0
78,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Micronesia,FSM,55.0,score,2021.0
80,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Micronesia,FSM,88.4534301757813,proportion,2019.0
81,Demographics,"Population, total",C3_Cancel public events,Micronesia,FSM,113815.0,total,2019.0
82,Demographics,Age dependency ratio (% of working-age population),C3_Cancel public events,Micronesia,FSM,55.39581114660987,proportion,2019.0
84,Environment,Access to electricity ,C3_Cancel public events,Micronesia,FSM,82.099723815918,percent of population,2018.0
