rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Gibraltar,GIB,94.4445,percent of population,2019.0
5,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Gibraltar,GIB,16968.0,number,2019.0
13,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Gibraltar,GIB,56.2891,per 100 people,2019.0
15,Health,Mortality due to COVID-19,C3_Cancel public events,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Environment,"Energy imports, net ",C3_Cancel public events,Gibraltar,GIB,100.0,percent of energy use,2014.0
18,Environment,Electricity production from oil sources,C3_Cancel public events,Gibraltar,GIB,100.0,percent of total,2015.0
27,Environment,Fossil fuel energy consumption,C3_Cancel public events,Gibraltar,GIB,99.51282,percent of total,2014.0
31,Environment,CO2 emissions (kt),C3_Cancel public events,Gibraltar,GIB,634.391,kt,2016.0
33,Demographics,Secure Internet servers ,C3_Cancel public events,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
38,Environment,Combustible renewables and waste,C3_Cancel public events,Gibraltar,GIB,0.0,percent of total energy,2014.0
52,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Gibraltar,GIB,0.0,kWh,2015.0
55,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
56,Health,Prevalence of COVID-19,C3_Cancel public events,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
59,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Gibraltar,GIB,120.284,per 100 people,2019.0
61,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Gibraltar,GIB,100.0,percent of total,2015.0
64,Environment,Electric power consumption ,C3_Cancel public events,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
68,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
75,Environment,Electricity production from coal sources ,C3_Cancel public events,Gibraltar,GIB,0.0,percent of total,2015.0
84,Environment,Access to electricity ,C3_Cancel public events,Gibraltar,GIB,100.0,percent of population,2018.0
86,Environment,Electricity production from nuclear sources ,C3_Cancel public events,Gibraltar,GIB,0.0,percent of total,2014.0
93,Environment,Renewable energy consumption ,C3_Cancel public events,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
