rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Grenada,GRD,59.0717,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Grenada,GRD,1.7,percent,2018.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Grenada,GRD,0.047496,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Grenada,GRD,94.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Grenada,GRD,46.66666667,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Grenada,GRD,10.9195721498431,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Grenada,GRD,12.41066,Rate (risk-weighted prevalence),2019.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Grenada,GRD,0.1758633,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Grenada,GRD,0.111266,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Grenada,GRD,4.199,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Grenada,GRD,22.836,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Grenada,GRD,-0.3131911,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Grenada,GRD,2.427794,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Grenada,GRD,3.1,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Grenada,GRD,-1000.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Grenada,GRD,52.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Grenada,GRD,89.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Grenada,GRD,102.077,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Grenada,GRD,-0.1359288,score,2019.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Grenada,GRD,0.002272,percent,2019.0
27,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Grenada,GRD,92.0,percent,2019.0
30,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Grenada,GRD,0.016018,percent,2019.0
