rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Kazakhstan,KAZ,81.8776,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Kazakhstan,KAZ,1.8,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Kazakhstan,KAZ,4.55100012,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Kazakhstan,KAZ,0.022605,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Kazakhstan,KAZ,189551.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Kazakhstan,KAZ,27.10280374,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Kazakhstan,KAZ,1.55844291225827,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Kazakhstan,KAZ,29.86167,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Kazakhstan,KAZ,6.99,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Kazakhstan,KAZ,-0.4324133,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Kazakhstan,KAZ,0.069107,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Kazakhstan,KAZ,2.973,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Kazakhstan,KAZ,13.2141,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Kazakhstan,KAZ,0.1372265,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Kazakhstan,KAZ,13.89268,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Kazakhstan,KAZ,68.0,Cases,2019.0
