rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Malta,MLT,85.7786,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Malta,MLT,5.7,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Malta,MLT,3.3670001,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Malta,MLT,0.069691,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Malta,MLT,11569.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Malta,MLT,13.43283582,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Malta,MLT,5.35500474641897,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Malta,MLT,25.34354,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Malta,MLT,8.33,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Malta,MLT,0.9522323,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Malta,MLT,0.12449,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Malta,MLT,1.87,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Malta,MLT,45.2438,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Malta,MLT,0.9556454,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Malta,MLT,2.947413,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Malta,MLT,14.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Malta,MLT,4501.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Malta,MLT,55.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Malta,MLT,90.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Malta,MLT,144.144,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Malta,MLT,0.85842,score,2019.0
22,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Malta,MLT,92.32540291634689,percent of total,2015.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Malta,MLT,0.002887,percent,2019.0
24,Environment,Electric power consumption ,C4_Restrictions on gatherings,Malta,MLT,4924.544019440443,kWh per capita,2014.0
26,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Malta,MLT,0.0,percent of total,2015.0
27,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Malta,MLT,98.0,percent,2019.0
28,Social issues ,Press freedom score,C4_Restrictions on gatherings,Malta,MLT,30.16,score,2020.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Malta,MLT,47.47716103883568,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Malta,MLT,0.030422,percent,2019.0
31,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Malta,MLT,56.3269997,Percentage of total population,2020.0
32,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Malta,MLT,9.4833,Ones,2018.0
33,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Malta,MLT,7.94,score,2018.0
34,Social issues ,Gini index (World Bank estimate),C4_Restrictions on gatherings,Malta,MLT,29.2,index ,2017.0
35,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Malta,MLT,35.0,score,2021.0
36,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Malta,MLT,1.5936073579,"proportion, pero 100,000 people",2018.0
37,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Malta,MLT,2.8598,Ones,2015.0
38,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Malta,MLT,33.593645802064856,score,2020.0
39,Governance,Personal Freedom Score ,C4_Restrictions on gatherings,Malta,MLT,8.72,score,2018.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Malta,MLT,100.0,percent of total,2017.0
41,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Malta,MLT,6.6020002365112305,score,2021.0
42,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Malta,MLT,1342.122,kt,2016.0
43,Economics,Volume of exports,C4_Restrictions on gatherings,Malta,MLT,2.225,percent change,2020.0
45,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Malta,MLT,100000000.0,kWh,2015.0
46,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Malta,MLT,53.0,score,2020.0
47,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Malta,MLT,92.32540291634689,percent of total,2015.0
49,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Malta,MLT,0.039451,percent,2019.0
50,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Malta,MLT,10870.32207109079,per 1 million people,2019.0
51,Governance,Serious assault (rate),C4_Restrictions on gatherings,Malta,MLT,41.66,rate,2018.0
52,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Malta,MLT,81.0070038,Percentage of total employment,2020.0
53,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Malta,MLT,0.124919,percent,2019.0
54,Governance,Human Development Index,C4_Restrictions on gatherings,Malta,MLT,0.895,index,2019.0
56,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Malta,MLT,257010.0,number,2019.0
57,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Malta,MLT,0.119103,percent,2019.0
59,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Malta,MLT,0.000799,percent,2019.0
60,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Malta,MLT,98.38148616512974,percent of energy use,2014.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Malta,MLT,28.9,percent,2016.0
65,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Malta,MLT,1.090187,score,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Malta,MLT,96.0,percent,2019.0
68,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Malta,MLT,97.78846,percent of total,2014.0
69,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Malta,MLT,45.9280014,Percentage of females of the total population,2020.0
71,Environment,Access to electricity ,C4_Restrictions on gatherings,Malta,MLT,100.0,percent of population,2018.0
72,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Malta,MLT,0.2393866,score,2019.0
74,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Malta,MLT,183.0,"Number (cumulative total by Dec 26,2020)",2020.0
79,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Malta,MLT,0.820107,percent of total energy,2014.0
81,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Malta,MLT,13.90954,micrograms per cubic meter,2017.0
85,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Malta,MLT,28.9,percent,2018.0
89,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Malta,MLT,1.110597,score,2019.0
91,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Malta,MLT,1781.504425186051,kg of oil equivalent per capita,2014.0
112,Environment,Electricity production from nuclear sources ,C4_Restrictions on gatherings,Malta,MLT,0.0,percent of total,2014.0
