rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Portugal,PRT,75.3464,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Portugal,PRT,5.8,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Portugal,PRT,5.93300009,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Portugal,PRT,0.090807,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Portugal,PRT,366952.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Portugal,PRT,40.0,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Portugal,PRT,27.15729838594,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Portugal,PRT,20.27079,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Portugal,PRT,8.27,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Portugal,PRT,1.135677,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Portugal,PRT,0.13497,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Portugal,PRT,4.706,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Portugal,PRT,38.7993,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Portugal,PRT,0.969747,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Portugal,PRT,4.720545,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Portugal,PRT,19.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Portugal,PRT,-30001.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Portugal,PRT,57.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Portugal,PRT,96.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Portugal,PRT,116.463,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Portugal,PRT,1.154005,score,2019.0
22,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Portugal,PRT,2.558452448275189,percent of total,2015.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Portugal,PRT,0.002035,percent,2019.0
24,Environment,Electric power consumption ,C4_Restrictions on gatherings,Portugal,PRT,4662.600799802944,kWh per capita,2014.0
25,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Portugal,PRT,4.60258570892067,percent of GNI,2018.0
26,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Portugal,PRT,28.71823872389384,percent of total,2015.0
27,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Portugal,PRT,99.0,percent,2019.0
28,Social issues ,Press freedom score,C4_Restrictions on gatherings,Portugal,PRT,11.83,score,2020.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Portugal,PRT,68.41576372642427,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
30,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Portugal,PRT,0.034976,percent,2019.0
31,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Portugal,PRT,58.4220009,Percentage of total population,2020.0
32,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Portugal,PRT,6.9746,Ones,2017.0
33,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Portugal,PRT,7.6,score,2018.0
34,Social issues ,Gini index (World Bank estimate),C4_Restrictions on gatherings,Portugal,PRT,33.8,index ,2017.0
35,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Portugal,PRT,39.0,score,2021.0
36,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Portugal,PRT,0.78976680624,"proportion, pero 100,000 people",2018.0
37,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Portugal,PRT,5.124,Ones,2017.0
38,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Portugal,PRT,23.51466331089092,score,2020.0
39,Governance,Personal Freedom Score ,C4_Restrictions on gatherings,Portugal,PRT,8.94,score,2018.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Portugal,PRT,16.0083566266812,percent of total,2017.0
41,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Portugal,PRT,5.928999900817871,score,2021.0
42,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Portugal,PRT,48741.76,kt,2016.0
43,Economics,Volume of exports,C4_Restrictions on gatherings,Portugal,PRT,4.072,percent change,2020.0
44,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Portugal,PRT,3.3,percent,2020.0
45,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Portugal,PRT,15712000000.0,kWh,2015.0
46,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Portugal,PRT,61.0,score,2020.0
47,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Portugal,PRT,51.87301339677464,percent of total,2015.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Portugal,PRT,8.5,percent,2020.0
49,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Portugal,PRT,0.058834,percent,2019.0
50,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Portugal,PRT,19182.0041975119,per 1 million people,2019.0
51,Governance,Serious assault (rate),C4_Restrictions on gatherings,Portugal,PRT,5.65,rate,2018.0
52,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Portugal,PRT,69.7509995,Percentage of total employment,2020.0
53,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Portugal,PRT,0.125343,percent,2019.0
54,Governance,Human Development Index,C4_Restrictions on gatherings,Portugal,PRT,0.864,index,2019.0
56,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Portugal,PRT,5128710.0,number,2019.0
57,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Portugal,PRT,0.115819,percent,2019.0
59,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Portugal,PRT,0.000492,percent,2019.0
60,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Portugal,PRT,76.8605636843599,percent of energy use,2015.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Portugal,PRT,20.8,percent,2016.0
65,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Portugal,PRT,1.128248,score,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Portugal,PRT,99.0,percent,2019.0
68,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Portugal,PRT,77.02412,percent of total,2015.0
69,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Portugal,PRT,53.8499985,Percentage of females of the total population,2020.0
71,Environment,Access to electricity ,C4_Restrictions on gatherings,Portugal,PRT,100.0,percent of population,2018.0
72,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Portugal,PRT,0.7639953,score,2019.0
74,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Portugal,PRT,5977.0,"Number (cumulative total by Dec 26,2020)",2020.0
79,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Portugal,PRT,10.3586,percent of total energy,2015.0
81,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Portugal,PRT,8.160752,micrograms per cubic meter,2017.0
85,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Portugal,PRT,33.96,percent,2018.0
89,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Portugal,PRT,1.238783,score,2019.0
91,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Portugal,PRT,2131.681887640137,kg of oil equivalent per capita,2015.0
112,Environment,Electricity production from nuclear sources ,C4_Restrictions on gatherings,Portugal,PRT,0.0,percent of total,2015.0
