rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Qatar,QAT,99.6528,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Qatar,QAT,1.9,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Qatar,QAT,0.082,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Qatar,QAT,0.048487,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Qatar,QAT,141716.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Qatar,QAT,9.756097561,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Qatar,QAT,0.0,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Qatar,QAT,23.17234,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Qatar,QAT,6.07,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Qatar,QAT,0.7343184,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Qatar,QAT,0.104982,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Qatar,QAT,-0.356,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Qatar,QAT,10.052,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Qatar,QAT,0.6793299,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Qatar,QAT,38.90147,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Qatar,QAT,35.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Qatar,QAT,200000.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Qatar,QAT,18.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Qatar,QAT,25.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Qatar,QAT,138.329,per 100 people,2019.0
