rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Sudan,SDN,30.8703,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Sudan,SDN,1.0,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Sudan,SDN,16.618,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Sudan,SDN,0.049087,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Sudan,SDN,22265.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Sudan,SDN,30.51643192,proportion,2018.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Sudan,SDN,61.5967474758976,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Sudan,SDN,27.78319,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Sudan,SDN,4.01,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Sudan,SDN,-1.140473,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Sudan,SDN,0.04414,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Sudan,SDN,-2.417,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Sudan,SDN,0.0746815,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Sudan,SDN,-1.673834,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Sudan,SDN,0.299733,metric tons per capita,2014.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Sudan,SDN,67.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Sudan,SDN,-250001.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Sudan,SDN,15.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Sudan,SDN,17.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Sudan,SDN,77.112,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Sudan,SDN,-1.621905,score,2019.0
22,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Sudan,SDN,22.61822641220204,percent of total,2015.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Sudan,SDN,0.001624,percent,2019.0
24,Environment,Electric power consumption ,C4_Restrictions on gatherings,Sudan,SDN,190.220886811296,kWh per capita,2014.0
25,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Sudan,SDN,-6.1789808089397,percent of GNI,2018.0
