rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Togo,TGO,12.3602,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Togo,TGO,1.1,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Togo,TGO,2.00500011,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Togo,TGO,0.034472,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Togo,TGO,3315.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Togo,TGO,18.68131868,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Togo,TGO,71.2646671412409,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Togo,TGO,13.87609,Rate (risk-weighted prevalence),2019.0
9,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Togo,TGO,6.13,score,2018.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Togo,TGO,-0.5887967,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Togo,TGO,0.016206,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Togo,TGO,7.106,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Togo,TGO,0.394674,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Togo,TGO,-0.6789817,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Togo,TGO,0.399417,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Togo,TGO,37.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Togo,TGO,-9999.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Togo,TGO,28.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Togo,TGO,43.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Togo,TGO,77.195,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Togo,TGO,-0.9173347,score,2019.0
22,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Togo,TGO,24.69135802469136,percent of total,2015.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Togo,TGO,0.000863,percent,2019.0
24,Environment,Electric power consumption ,C4_Restrictions on gatherings,Togo,TGO,154.6652373207778,kWh per capita,2014.0
25,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Togo,TGO,1.0887765083884,percent of GNI,2018.0
26,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Togo,TGO,0.0,percent of total,2015.0
27,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Togo,TGO,84.0,percent,2019.0
28,Social issues ,Press freedom score,C4_Restrictions on gatherings,Togo,TGO,29.33,score,2020.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Togo,TGO,329.3783198317994,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Togo,TGO,0.002132,percent,2019.0
31,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Togo,TGO,77.473999,Percentage of total population,2020.0
32,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Togo,TGO,0.4102,Ones,2018.0
33,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Togo,TGO,6.25,score,2018.0
