rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Albania,ALB,69.6429,percent of population,2019.0
3,Governance,Regulatory quality estimate,C5_Close public transport,Albania,ALB,0.2743798,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Albania,ALB,2.2894924438,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C5_Close public transport,Albania,ALB,242859.0,number,2019.0
7,Economics,Volume of imports,C5_Close public transport,Albania,ALB,4.832,percent change,2020.0
8,Environment,Electricity production from oil sources,C5_Close public transport,Albania,ALB,0.0,percent of total,2015.0
9,Health,Prevalence of COVID-19,C5_Close public transport,Albania,ALB,52004.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of total cancers,C5_Close public transport,Albania,ALB,0.012352,percent,2019.0
11,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Albania,ALB,0.207619,percent,2019.0
12,Environment,Energy use (kg of oil equivalent per capita),C5_Close public transport,Albania,ALB,808.455839595944,kg of oil equivalent per capita,2014.0
13,Demographics,Fixed broadband subscriptions,C5_Close public transport,Albania,ALB,15.1407,per 100 people,2019.0
14,Health,Summary exposure value tobacco,C5_Close public transport,Albania,ALB,33.62786,Rate (risk-weighted prevalence),2019.0
15,Environment,Combustible renewables and waste,C5_Close public transport,Albania,ALB,9.361381,percent of total energy,2014.0
16,Governance,Personal Freedom Score ,C5_Close public transport,Albania,ALB,7.81,score,2018.0
17,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Albania,ALB,0.001544,percent,2019.0
18,Governance,Control of corruption estimate,C5_Close public transport,Albania,ALB,-0.5287576,score,2019.0
19,Environment,Electricity production from nuclear sources ,C5_Close public transport,Albania,ALB,0.0,percent of total,2014.0
20,Governance,Economic Freedom Score,C5_Close public transport,Albania,ALB,7.8,score,2018.0
21,Health,"Prevalence of HIV, total (% of population ages 15-49)",C5_Close public transport,Albania,ALB,0.1,percent,2019.0
22,Health,"Physicians (per 1,000 people)",C5_Close public transport,Albania,ALB,1.2164,Ones,2016.0
23,Environment,"Energy imports, net ",C5_Close public transport,Albania,ALB,13.79797089796564,percent of energy use,2014.0
24,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Albania,ALB,99.0,percent,2019.0
25,Demographics,Secure Internet servers ,C5_Close public transport,Albania,ALB,767.2927284824317,per 1 million people,2019.0
26,Social issues ,Net migration,C5_Close public transport,Albania,ALB,-69998.0,net total / data are 5 year estimates,2019.0
27,Governance,Fragile States Index Total ,C5_Close public transport,Albania,ALB,58.75381081040027,score,2020.0
28,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Albania,ALB,22.61,percent,2017.0
29,Environment,Electric power consumption ,C5_Close public transport,Albania,ALB,2309.36650255581,kWh per capita,2014.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Albania,ALB,0.105404,percent,2019.0
32,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Albania,ALB,55.5909996,Percentage of total population,2020.0
34,Governance,Human Freedom Score ,C5_Close public transport,Albania,ALB,7.81,score,2018.0
35,Health,Mortality due to COVID-19,C5_Close public transport,Albania,ALB,1066.0,"Number (cumulative total by Dec 26,2020)",2020.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Albania,ALB,16.0,Cases,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C5_Close public transport,Albania,ALB,46.6030006,Percentage of females of the total population,2020.0
38,Environment,"Electricity production from renewable sources, excluding hydroelectric",C5_Close public transport,Albania,ALB,0.0,kWh,2015.0
39,Governance,Voice and accountability estimate,C5_Close public transport,Albania,ALB,0.1518047,score,2019.0
40,Health,Prevalence of anxiety disorders,C5_Close public transport,Albania,ALB,0.044595,percent,2019.0
41,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Albania,ALB,3.6495,Ones,2016.0
42,Environment,Electricity production from coal sources ,C5_Close public transport,Albania,ALB,0.0,percent of total,2015.0
44,Social issues ,Life Ladder ,C5_Close public transport,Albania,ALB,5.117400169372559,score,2021.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Albania,ALB,14.6,percent,2020.0
46,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Albania,ALB,-1.55487751567793,percent of GNI,2018.0
47,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Albania,ALB,18.2006,micrograms per cubic meter,2017.0
48,Economics,Volume of exports,C5_Close public transport,Albania,ALB,5.842,percent change,2020.0
49,Health,Prevalence of down syndrome,C5_Close public transport,Albania,ALB,0.000151,percent,2019.0
51,Environment,Fossil fuel energy consumption,C5_Close public transport,Albania,ALB,61.4218,percent of total,2014.0
