rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Bhutan,BTN,48.1064,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C5_Close public transport,Bhutan,BTN,69.2539354517128,proportion,2017.0
3,Governance,Regulatory quality estimate,C5_Close public transport,Bhutan,BTN,-0.3266567,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Bhutan,BTN,1.193007386,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C5_Close public transport,Bhutan,BTN,21581.0,number,2019.0
7,Economics,Volume of imports,C5_Close public transport,Bhutan,BTN,-3.93,percent change,2020.0
9,Health,Prevalence of COVID-19,C5_Close public transport,Bhutan,BTN,443.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of total cancers,C5_Close public transport,Bhutan,BTN,0.002882,percent,2019.0
11,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Bhutan,BTN,0.107158,percent,2019.0
13,Demographics,Fixed broadband subscriptions,C5_Close public transport,Bhutan,BTN,1.1498,per 100 people,2019.0
14,Health,Summary exposure value tobacco,C5_Close public transport,Bhutan,BTN,12.4347,Rate (risk-weighted prevalence),2019.0
16,Governance,Personal Freedom Score ,C5_Close public transport,Bhutan,BTN,6.41,score,2018.0
17,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Bhutan,BTN,0.0006,percent,2019.0
18,Governance,Control of corruption estimate,C5_Close public transport,Bhutan,BTN,1.617919,score,2019.0
20,Governance,Economic Freedom Score,C5_Close public transport,Bhutan,BTN,6.63,score,2018.0
22,Health,"Physicians (per 1,000 people)",C5_Close public transport,Bhutan,BTN,0.4242,Ones,2018.0
24,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Bhutan,BTN,97.0,percent,2019.0
25,Demographics,Secure Internet servers ,C5_Close public transport,Bhutan,BTN,478.3171622818743,per 1 million people,2019.0
26,Social issues ,Net migration,C5_Close public transport,Bhutan,BTN,1600.0,net total / data are 5 year estimates,2019.0
27,Governance,Fragile States Index Total ,C5_Close public transport,Bhutan,BTN,69.50902262964706,score,2020.0
28,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Bhutan,BTN,18.48,percent,2015.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Bhutan,BTN,0.07479,percent,2019.0
31,Demographics,Urban population (% of total population),C5_Close public transport,Bhutan,BTN,41.612,total,2019.0
32,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Bhutan,BTN,66.9810028,Percentage of total population,2020.0
33,Demographics,Rural population (% of total population),C5_Close public transport,Bhutan,BTN,58.388,proportion,2019.0
34,Governance,Human Freedom Score ,C5_Close public transport,Bhutan,BTN,6.52,score,2018.0
35,Health,Mortality due to COVID-19,C5_Close public transport,Bhutan,BTN,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Bhutan,BTN,165.0,Cases,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C5_Close public transport,Bhutan,BTN,59.0340004,Percentage of females of the total population,2020.0
39,Governance,Voice and accountability estimate,C5_Close public transport,Bhutan,BTN,0.0987649,score,2019.0
40,Health,Prevalence of anxiety disorders,C5_Close public transport,Bhutan,BTN,0.034558,percent,2019.0
41,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Bhutan,BTN,1.8518,Ones,2018.0
43,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C5_Close public transport,Bhutan,BTN,21080.7,international $ in PPP,2020.0
44,Social issues ,Life Ladder ,C5_Close public transport,Bhutan,BTN,5.082128524780273,score,2015.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Bhutan,BTN,5.2,percent,2020.0
46,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Bhutan,BTN,16.7546333237009,percent of GNI,2018.0
47,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Bhutan,BTN,37.9265,micrograms per cubic meter,2017.0
48,Economics,Volume of exports,C5_Close public transport,Bhutan,BTN,3.855,percent change,2020.0
49,Health,Prevalence of down syndrome,C5_Close public transport,Bhutan,BTN,0.000138,percent,2019.0
50,Economics,Expenditure on social protection (% of GDP),C5_Close public transport,Bhutan,BTN,2.42554,percent,2019.0
52,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Bhutan,BTN,1.092505,score,2019.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C5_Close public transport,Bhutan,BTN,2.4,percent,2018.0
