rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Denmark,DNK,98.0464,percent of population,2019.0
3,Governance,Regulatory quality estimate,C5_Close public transport,Denmark,DNK,1.565012,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Denmark,DNK,1.0083219593,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C5_Close public transport,Denmark,DNK,1004960.0,number,2019.0
7,Economics,Volume of imports,C5_Close public transport,Denmark,DNK,2.524,percent change,2020.0
8,Environment,Electricity production from oil sources,C5_Close public transport,Denmark,DNK,1.08128648910077,percent of total,2015.0
9,Health,Prevalence of COVID-19,C5_Close public transport,Denmark,DNK,128321.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of total cancers,C5_Close public transport,Denmark,DNK,0.038437,percent,2019.0
11,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Denmark,DNK,0.121376,percent,2019.0
12,Environment,Energy use (kg of oil equivalent per capita),C5_Close public transport,Denmark,DNK,2816.614565399422,kg of oil equivalent per capita,2015.0
13,Demographics,Fixed broadband subscriptions,C5_Close public transport,Denmark,DNK,43.946,per 100 people,2019.0
14,Health,Summary exposure value tobacco,C5_Close public transport,Denmark,DNK,26.57576,Rate (risk-weighted prevalence),2019.0
15,Environment,Combustible renewables and waste,C5_Close public transport,Denmark,DNK,15.32376,percent of total energy,2015.0
16,Governance,Personal Freedom Score ,C5_Close public transport,Denmark,DNK,9.35,score,2018.0
17,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Denmark,DNK,0.000698,percent,2019.0
18,Governance,Control of corruption estimate,C5_Close public transport,Denmark,DNK,2.107368,score,2019.0
19,Environment,Electricity production from nuclear sources ,C5_Close public transport,Denmark,DNK,0.0,percent of total,2015.0
20,Governance,Economic Freedom Score,C5_Close public transport,Denmark,DNK,8.1,score,2018.0
22,Health,"Physicians (per 1,000 people)",C5_Close public transport,Denmark,DNK,4.0099,Ones,2016.0
23,Environment,"Energy imports, net ",C5_Close public transport,Denmark,DNK,1.774998670992041,percent of energy use,2015.0
24,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Denmark,DNK,97.0,percent,2019.0
