rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Benin,BEN,20.0,percent of population,2019.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Benin,BEN,-0.3759647,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Benin,BEN,35917.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Benin,BEN,1.1274974068,"proportion, pero 100,000 people",2017.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Benin,BEN,3152.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Benin,BEN,0.001737,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Benin,BEN,11.76638,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Benin,BEN,17.959,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Benin,BEN,94.44444444444444,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Benin,BEN,416.7904979973445,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Benin,BEN,5000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Benin,BEN,0.21553,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Benin,BEN,0.031545,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Benin,BEN,32.565,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Benin,BEN,6.81,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Benin,BEN,-10000.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Benin,BEN,0.3888,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Benin,BEN,6475.922,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Benin,BEN,70.9570007,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Benin,BEN,0.0920652,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Benin,BEN,68.9720001,Percentage of females of the total population,2020.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Benin,BEN,55.0,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Benin,BEN,9.6,percent,2016.0
28,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Benin,BEN,-0.3478641,score,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Benin,BEN,-0.4406517,score,2019.0
30,Governance,Serious assault (rate),C7_Restrictions on internal movement,Benin,BEN,47.74,rate,2017.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Benin,BEN,100.0,percent of total,2017.0
32,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Benin,BEN,65.0,score,2021.0
