rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Belarus,BLR,82.7892,percent of population,2019.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Belarus,BLR,-0.5437806,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Belarus,BLR,4488820.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Belarus,BLR,2.3908727902,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Belarus,BLR,169648.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Belarus,BLR,0.02094,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Belarus,BLR,29.59042,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Belarus,BLR,4.456,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Belarus,BLR,1.062144240361481,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Belarus,BLR,2928.520215977373,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Belarus,BLR,171000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Belarus,BLR,33.8691,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Belarus,BLR,0.05043,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Belarus,BLR,5.856,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Belarus,BLR,6.67,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Belarus,BLR,43648.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Belarus,BLR,11.0027,Ones,2015.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Belarus,BLR,58279.63,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Belarus,BLR,63.7019997,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Belarus,BLR,-1.402502,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Belarus,BLR,57.3069992,Percentage of females of the total population,2020.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Belarus,BLR,47.28,percent,2018.0
