rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Cyprus,CYP,86.0636,percent of population,2019.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Cyprus,CYP,1.012343,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Cyprus,CYP,323914.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Cyprus,CYP,1.2612864112,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Cyprus,CYP,17057.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Cyprus,CYP,0.028626,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Cyprus,CYP,31.52972,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Cyprus,CYP,4.449,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Cyprus,CYP,91.21994264284139,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Cyprus,CYP,1712.159752144652,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Cyprus,CYP,398000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Cyprus,CYP,37.7881,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Cyprus,CYP,0.038063,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Cyprus,CYP,4.745,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Cyprus,CYP,8.05,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Cyprus,CYP,25000.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Cyprus,CYP,5.2512,Ones,2016.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Cyprus,CYP,6626.269,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Cyprus,CYP,62.8569984,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Cyprus,CYP,1.077345,score,2019.0
