rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Finland,FIN,89.6074,percent of population,2019.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Finland,FIN,1.851015,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Finland,FIN,269000.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Finland,FIN,1.6296716121,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Finland,FIN,32582.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Finland,FIN,0.03991,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Finland,FIN,20.31926,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Finland,FIN,3.023,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Finland,FIN,0.3090514162426928,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Finland,FIN,5924.700124882951,kg of oil equivalent per capita,2015.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Finland,FIN,13756000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Finland,FIN,32.4828,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Finland,FIN,0.049979,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Finland,FIN,3.106,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Finland,FIN,8.49,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Finland,FIN,70000.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Finland,FIN,14.7374,Ones,2016.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Finland,FIN,45870.5,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Finland,FIN,58.8580017,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Finland,FIN,1.588977,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Finland,FIN,55.3370018,Percentage of females of the total population,2020.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Finland,FIN,31.83,percent,2018.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Finland,FIN,4.7,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Finland,FIN,22.2,percent,2016.0
28,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Finland,FIN,0.9090824,score,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Finland,FIN,1.929313,score,2019.0
30,Governance,Serious assault (rate),C7_Restrictions on internal movement,Finland,FIN,29.13,rate,2018.0
