rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Grenada,GRD,59.0717,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Grenada,GRD,91.4938921337197,proportion,2017.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Grenada,GRD,-0.3131911,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Grenada,GRD,32491.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Grenada,GRD,10.823096488,"proportion, pero 100,000 people",2017.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Grenada,GRD,94.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Grenada,GRD,0.016018,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Grenada,GRD,12.41066,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Grenada,GRD,4.199,percent change,2020.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Grenada,GRD,22.836,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Grenada,GRD,0.036803,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Grenada,GRD,3.994,percent change,2020.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Grenada,GRD,-1000.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Grenada,GRD,6.2837,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Grenada,GRD,267.691,kt,2016.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Grenada,GRD,0.707514,score,2019.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Grenada,GRD,3.1,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Grenada,GRD,21.3,percent,2016.0
28,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Grenada,GRD,0.959709,score,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Grenada,GRD,-0.1359288,score,2019.0
30,Governance,Serious assault (rate),C7_Restrictions on internal movement,Grenada,GRD,338.22,rate,2017.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Grenada,GRD,100.0,percent of total,2017.0
32,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Grenada,GRD,89.0,score,2021.0
33,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Grenada,GRD,37.0,score,2021.0
34,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Grenada,GRD,102.077,per 100 people,2019.0
37,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Grenada,GRD,0.047496,percent,2019.0
40,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Grenada,GRD,0.111266,percent,2019.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Grenada,GRD,46.66666667,proportion,2020.0
44,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Grenada,GRD,94.0,percent,2019.0
48,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Grenada,GRD,0.273052,percent,2019.0
51,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Grenada,GRD,0.000323,percent,2019.0
