rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Guyana,GUY,37.3258,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Guyana,GUY,85.7631015015164,proportion,2017.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Guyana,GUY,-0.6206163,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Guyana,GUY,135795.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Guyana,GUY,14.248909188,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Guyana,GUY,6042.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Guyana,GUY,0.007256,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Guyana,GUY,16.47826,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Guyana,GUY,20.064,percent change,2020.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Guyana,GUY,8.37038,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Guyana,GUY,0.051502,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Guyana,GUY,66.164,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Guyana,GUY,7.0,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Guyana,GUY,-30001.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Guyana,GUY,1.0398,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Guyana,GUY,2383.55,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Guyana,GUY,56.1969986,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Guyana,GUY,0.2800457,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Guyana,GUY,44.0730019,Percentage of females of the total population,2020.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Guyana,GUY,37.86,percent,2017.0
