rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Honduras,HND,31.7,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Honduras,HND,81.2512629376572,proportion,2017.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Honduras,HND,-0.4927323,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Honduras,HND,490103.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Honduras,HND,38.925591104,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Honduras,HND,115474.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Honduras,HND,0.004195,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Honduras,HND,16.77821,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Honduras,HND,4.703,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Honduras,HND,56.68711656441717,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Honduras,HND,597.9295164170665,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Honduras,HND,1450000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Honduras,HND,4.00546,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Honduras,HND,0.028605,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Honduras,HND,3.453,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Honduras,HND,6.94,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Honduras,HND,-34000.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Honduras,HND,0.7357,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Honduras,HND,9812.892,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Honduras,HND,68.7850037,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Honduras,HND,-0.5518603,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Honduras,HND,52.0960007,Percentage of females of the total population,2020.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Honduras,HND,51.35,percent,2018.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Honduras,HND,31.0,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Honduras,HND,21.4,percent,2016.0
