rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Pakistan,PAK,17.0709,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Pakistan,PAK,59.869495032297,proportion,2017.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Pakistan,PAK,-0.6444789,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Pakistan,PAK,2461920.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Pakistan,PAK,3.8830827302,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Pakistan,PAK,451494.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Pakistan,PAK,0.004517,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Pakistan,PAK,23.4942,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Pakistan,PAK,1.726,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Pakistan,PAK,37.22499346027909,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Pakistan,PAK,460.2347972222681,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Pakistan,PAK,840000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Pakistan,PAK,0.81309,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Pakistan,PAK,0.032312,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Pakistan,PAK,6.002,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Pakistan,PAK,5.64,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Pakistan,PAK,-1166895.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Pakistan,PAK,0.6683,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Pakistan,PAK,201149.6,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Pakistan,PAK,52.6899986,Percentage of total population,2020.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Pakistan,PAK,-0.8433508,score,2019.0
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Pakistan,PAK,22.1819992,Percentage of females of the total population,2020.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Pakistan,PAK,4.93,percent,2018.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Pakistan,PAK,263.0,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Pakistan,PAK,8.6,percent,2016.0
28,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Pakistan,PAK,-2.246336,score,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Pakistan,PAK,-0.6770047,score,2019.0
30,Governance,Serious assault (rate),C7_Restrictions on internal movement,Pakistan,PAK,12.51,rate,2018.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Pakistan,PAK,100.0,percent of total,2017.0
32,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Pakistan,PAK,37.0,score,2021.0
33,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Pakistan,PAK,15.0,score,2021.0
34,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Pakistan,PAK,76.3769,per 100 people,2019.0
35,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C7_Restrictions on internal movement,Pakistan,PAK,4.44500017,percent of total labor force,2020.0
36,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Pakistan,PAK,36.7,percent,2020.0
37,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Pakistan,PAK,0.031718,percent,2019.0
38,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C7_Restrictions on internal movement,Pakistan,PAK,15257.6,international $ in PPP,2020.0
39,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Pakistan,PAK,24.12316878268834,percent of energy use,2014.0
40,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Pakistan,PAK,0.041796,percent,2019.0
41,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Pakistan,PAK,3.4,percent,2020.0
42,Environment,Energy use ,C7_Restrictions on internal movement,Pakistan,PAK,110.3349006196365,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Pakistan,PAK,20.1754386,proportion,2020.0
44,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Pakistan,PAK,75.0,percent,2019.0
45,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Pakistan,PAK,4.934000015258789,score,2021.0
47,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Pakistan,PAK,6.07,score,2018.0
48,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Pakistan,PAK,0.200208,percent,2019.0
50,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Pakistan,PAK,63.08710908254481,percent of total,2015.0
51,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Pakistan,PAK,0.000188,percent,2019.0
52,Social issues ,Gini index (World Bank estimate),C7_Restrictions on internal movement,Pakistan,PAK,33.5,index ,2015.0
53,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Pakistan,PAK,3.97076610579771,percent of GNI,2018.0
54,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Pakistan,PAK,62.56311086708722,per 1 million people,2019.0
55,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Pakistan,PAK,0.058717,percent,2019.0
56,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Pakistan,PAK,-0.6675787,score,2019.0
57,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Pakistan,PAK,38.3160019,Percentage of total employment,2020.0
58,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Pakistan,PAK,35.02253,percent of total energy,2014.0
59,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Pakistan,PAK,0.1,percent,2019.0
60,Demographics,Urban population (% of total population),C7_Restrictions on internal movement,Pakistan,PAK,36.907,total,2019.0
61,Demographics,Age dependency ratio (% of working-age population),C7_Restrictions on internal movement,Pakistan,PAK,64.95331206973643,proportion,2019.0
62,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Pakistan,PAK,31.0,score,2020.0
63,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Pakistan,PAK,-0.8467407,score,2019.0
64,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Pakistan,PAK,0.9801,Ones,2018.0
65,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Pakistan,PAK,4.757542902007702,percent of total,2014.0
66,Environment,Electricity production from coal sources ,C7_Restrictions on internal movement,Pakistan,PAK,0.1371086315295731,percent of total,2015.0
67,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Pakistan,PAK,75.0,percent,2019.0
68,Governance,Aggregate score for the Civil Liberties category,C7_Restrictions on internal movement,Pakistan,PAK,22.0,score,2021.0
69,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Pakistan,PAK,46.4763249199424,percent of total final energy consumption,2015.0
70,Social issues ,Progression to secondary school (%),C7_Restrictions on internal movement,Pakistan,PAK,87.50431,proportion,2017.0
71,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Pakistan,PAK,0.000524,percent,2019.0
72,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Pakistan,PAK,5.21,score,2018.0
73,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Pakistan,PAK,9164.0,"Number (cumulative total by Dec 26,2020)",2020.0
