rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Russian Federation,RUS,82.6422,percent of population,2019.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Russian Federation,RUS,-0.4316224,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Russian Federation,RUS,31952100.0,number,2019.0
5,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Russian Federation,RUS,8.209475626,"proportion, pero 100,000 people",2018.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Russian Federation,RUS,2819429.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Russian Federation,RUS,0.019815,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Russian Federation,RUS,31.52149,Rate (risk-weighted prevalence),2019.0
10,Economics,Volume of imports,C7_Restrictions on internal movement,Russian Federation,RUS,6.244,percent change,2020.0
11,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Russian Federation,RUS,0.9469577890116863,percent of total,2015.0
12,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Russian Federation,RUS,4942.875517455312,kg of oil equivalent per capita,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Russian Federation,RUS,970000000.0,kWh,2015.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Russian Federation,RUS,22.6422,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Russian Federation,RUS,0.039075,percent,2019.0
16,Economics,Volume of exports,C7_Restrictions on internal movement,Russian Federation,RUS,3.721,percent change,2020.0
17,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Russian Federation,RUS,6.31,score,2018.0
18,Social issues ,Net migration,C7_Restrictions on internal movement,Russian Federation,RUS,912279.0,net total / data are 5 year estimates,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Russian Federation,RUS,8.5429,Ones,2017.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Russian Federation,RUS,1732027.0,kt,2016.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Russian Federation,RUS,61.3520012,Percentage of total population,2020.0
