rank,Category,Indicator,Policy,Country,ISO,value,unit,year
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Tokelau,TKL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Tokelau,TKL,0.007214,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Tokelau,TKL,27.98347,Rate (risk-weighted prevalence),2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Tokelau,TKL,0.030871,percent,2019.0
37,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Tokelau,TKL,0.040476,percent,2019.0
40,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Tokelau,TKL,0.111261,percent,2019.0
48,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Tokelau,TKL,0.362278,percent,2019.0
51,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Tokelau,TKL,0.000145,percent,2019.0
55,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Tokelau,TKL,0.106118,percent,2019.0
71,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Tokelau,TKL,0.003708,percent,2019.0
73,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Tokelau,TKL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
