rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Tuvalu,TUV,49.3183,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Tuvalu,TUV,84.07847367017,proportion,2017.0
3,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Tuvalu,TUV,-0.5554741,score,2019.0
4,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Tuvalu,TUV,2000.0,number,2019.0
6,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Tuvalu,TUV,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Tuvalu,TUV,0.006103,percent,2019.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Tuvalu,TUV,26.98035,Rate (risk-weighted prevalence),2019.0
14,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Tuvalu,TUV,3.95778,per 100 people,2019.0
15,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Tuvalu,TUV,0.031974,percent,2019.0
19,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Tuvalu,TUV,4.2609,Ones,2018.0
20,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Tuvalu,TUV,11.001,kt,2016.0
22,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Tuvalu,TUV,1.122499,score,2019.0
24,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Tuvalu,TUV,35.93,percent,2016.0
26,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Tuvalu,TUV,296.0,Cases,2019.0
27,Health,Prevalence of obesity,C7_Restrictions on internal movement,Tuvalu,TUV,51.6,percent,2016.0
28,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Tuvalu,TUV,1.204567,score,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Tuvalu,TUV,-0.6466321,score,2019.0
32,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Tuvalu,TUV,93.0,score,2021.0
33,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Tuvalu,TUV,37.0,score,2021.0
34,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Tuvalu,TUV,70.3606,per 100 people,2019.0
