rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Austria,AUT,87.7522,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Austria,AUT,332371.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Austria,AUT,4.77899981,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Austria,AUT,12.47797,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Austria,AUT,71.4749985,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Austria,AUT,2.44,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Austria,AUT,7.5,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Austria,AUT,71.54711753478527,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
11,Social issues ,Net migration,C8_International travel controls,Austria,AUT,324998.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Austria,AUT,0.004168,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Austria,AUT,28.0622,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Austria,AUT,60.6100006,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Austria,AUT,55.0439987,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Austria,AUT,15.78,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Austria,AUT,0.00057,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Austria,AUT,30.50803,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Austria,AUT,0.032789,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Austria,AUT,0.079468,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Austria,AUT,3753080.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Austria,AUT,0.03949,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Austria,AUT,61447.92,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Austria,AUT,7.2677998542785645,score,2021.0
27,Governance,Serious assault (rate),C8_International travel controls,Austria,AUT,41.74,rate,2018.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Austria,AUT,14.2752603712723,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Austria,AUT,0.9801227,score,2019.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Austria,AUT,119.775,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Austria,AUT,5.1697,Ones,2017.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Austria,AUT,34.3949917477854,percent of total final energy consumption,2015.0
36,Health,Prevalence of obesity,C8_International travel controls,Austria,AUT,20.1,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Austria,AUT,8355.841951821338,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Austria,AUT,85.0515376653505,percent of total,2017.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Austria,AUT,85.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Austria,AUT,0.066077,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Austria,AUT,7.033336,metric tons per capita,2016.0
44,Governance,Human Freedom Score ,C8_International travel controls,Austria,AUT,8.45,score,2018.0
45,Governance,Fragile States Index Total ,C8_International travel controls,Austria,AUT,24.108703082430992,score,2020.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Austria,AUT,1.326599,score,2019.0
47,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Austria,AUT,22.22204232307368,percent of total,2015.0
48,Governance,Corruption Perceptions Index,C8_International travel controls,Austria,AUT,76.0,score,2020.0
49,Governance,Total freedom in the world score ,C8_International travel controls,Austria,AUT,93.0,score,2021.0
51,Governance,Control of corruption estimate,C8_International travel controls,Austria,AUT,1.545429,score,2019.0
52,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Austria,AUT,29.7,index ,2017.0
53,Health,Mortality due to COVID-19,C8_International travel controls,Austria,AUT,5017.0,"Number (cumulative total by Dec 26,2020)",2020.0
54,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Austria,AUT,3800.299420354683,kg of oil equivalent per capita,2015.0
55,Environment,Electricity production from nuclear sources ,C8_International travel controls,Austria,AUT,0.0,percent of total,2015.0
56,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Austria,AUT,31.59,percent,2018.0
57,Environment,Electricity production from oil sources,C8_International travel controls,Austria,AUT,1.39403850201577,percent of total,2015.0
58,Governance,Government effectiveness estimate,C8_International travel controls,Austria,AUT,1.490911,score,2019.0
59,Governance,Human Development Index,C8_International travel controls,Austria,AUT,0.922,index,2019.0
60,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Austria,AUT,0.119811,percent,2019.0
61,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Austria,AUT,37.0,score,2021.0
62,Governance,Economic Freedom Score,C8_International travel controls,Austria,AUT,7.8,score,2018.0
63,Governance,Rule of law estimate ,C8_International travel controls,Austria,AUT,1.883051,score,2019.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Austria,AUT,10187000000.0,kWh,2015.0
66,Governance,Regulatory quality estimate,C8_International travel controls,Austria,AUT,1.459116,score,2019.0
68,Environment,Combustible renewables and waste,C8_International travel controls,Austria,AUT,14.1425,percent of total energy,2015.0
70,Environment,Fossil fuel energy consumption,C8_International travel controls,Austria,AUT,65.66182,percent of total,2015.0
71,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Austria,AUT,6.2,Cases,2019.0
72,Environment,"Energy imports, net ",C8_International travel controls,Austria,AUT,63.54485349359552,percent of energy use,2015.0
74,Environment,Electricity production from coal sources ,C8_International travel controls,Austria,AUT,8.226608163463563,percent of total,2015.0
77,Demographics,Secure Internet servers ,C8_International travel controls,Austria,AUT,26306.77452361236,per 1 million people,2019.0
79,Economics,Volume of exports,C8_International travel controls,Austria,AUT,2.588,percent change,2020.0
80,Health,Prevalence of chronic kidney disease,C8_International travel controls,Austria,AUT,0.115732,percent,2019.0
82,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Austria,AUT,0.96722860774,"proportion, pero 100,000 people",2018.0
83,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Austria,AUT,56.0,score,2021.0
84,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Austria,AUT,7.0899,Ones,2017.0
85,Environment,Access to electricity ,C8_International travel controls,Austria,AUT,100.0,percent of population,2018.0
86,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Austria,AUT,94.0,percent,2019.0
95,Governance,Personal Freedom Score ,C8_International travel controls,Austria,AUT,9.09,score,2018.0
