rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Denmark,DNK,98.0464,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Denmark,DNK,128321.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Denmark,DNK,4.84600019,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Denmark,DNK,10.02965,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Denmark,DNK,79.6139984,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Denmark,DNK,2.524,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Denmark,DNK,8.4,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Denmark,DNK,53.09784799107469,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
11,Social issues ,Net migration,C8_International travel controls,Denmark,DNK,75998.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Denmark,DNK,0.000698,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Denmark,DNK,43.946,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Denmark,DNK,62.1220016,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Denmark,DNK,58.1570015,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Denmark,DNK,8.13,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Denmark,DNK,0.000545,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Denmark,DNK,26.57576,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Denmark,DNK,0.038437,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Denmark,DNK,0.073523,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Denmark,DNK,1004960.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Denmark,DNK,0.044083,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Denmark,DNK,31785.56,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Denmark,DNK,7.619500160217285,score,2021.0
27,Governance,Serious assault (rate),C8_International travel controls,Denmark,DNK,32.28,rate,2018.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Denmark,DNK,19.364456479992,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Denmark,DNK,1.008821,score,2019.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Denmark,DNK,125.496,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Denmark,DNK,4.0099,Ones,2016.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Denmark,DNK,33.1702771730605,percent of total final energy consumption,2015.0
36,Health,Prevalence of obesity,C8_International travel controls,Denmark,DNK,19.7,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Denmark,DNK,5858.801536287482,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Denmark,DNK,56.9144561104444,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Denmark,DNK,39.66480447,proportion,2020.0
