rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Kyrgyzstan,KGZ,38.0,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Kyrgyzstan,KGZ,78911.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Kyrgyzstan,KGZ,6.64300013,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Kyrgyzstan,KGZ,22.73777,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Kyrgyzstan,KGZ,54.887001,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Kyrgyzstan,KGZ,2.673,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Kyrgyzstan,KGZ,2.8,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Kyrgyzstan,KGZ,137.7360572554588,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
11,Social issues ,Net migration,C8_International travel controls,Kyrgyzstan,KGZ,-20000.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Kyrgyzstan,KGZ,0.000608,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Kyrgyzstan,KGZ,5.8,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Kyrgyzstan,KGZ,4.19416,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Kyrgyzstan,KGZ,59.6240005,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Kyrgyzstan,KGZ,44.4550018,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Kyrgyzstan,KGZ,30.19,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Kyrgyzstan,KGZ,0.000219,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Kyrgyzstan,KGZ,39.00911,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Kyrgyzstan,KGZ,0.003913,percent,2019.0
21,Economics,Unemployment rate (%) - Annual,C8_International travel controls,Kyrgyzstan,KGZ,4.6,percent,2018.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Kyrgyzstan,KGZ,0.031176,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Kyrgyzstan,KGZ,298855.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Kyrgyzstan,KGZ,0.033074,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Kyrgyzstan,KGZ,9787.223,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Kyrgyzstan,KGZ,5.743599891662598,score,2021.0
27,Governance,Serious assault (rate),C8_International travel controls,Kyrgyzstan,KGZ,2.54,rate,2018.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Kyrgyzstan,KGZ,7.1226025637555,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Kyrgyzstan,KGZ,-0.4097819,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Kyrgyzstan,KGZ,11.4,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Kyrgyzstan,KGZ,134.395,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Kyrgyzstan,KGZ,2.213,Ones,2014.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Kyrgyzstan,KGZ,23.3068222046976,percent of total final energy consumption,2015.0
35,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Kyrgyzstan,KGZ,0.2,percent,2019.0
36,Health,Prevalence of obesity,C8_International travel controls,Kyrgyzstan,KGZ,16.6,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Kyrgyzstan,KGZ,1941.221831891012,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Kyrgyzstan,KGZ,97.4325569187238,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Kyrgyzstan,KGZ,19.16666667,proportion,2020.0
