rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Lebanon,LBN,78.1808,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Lebanon,LBN,154944.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Lebanon,LBN,6.27600002,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Lebanon,LBN,30.62111,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Lebanon,LBN,64.310997,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Lebanon,LBN,3.972,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Lebanon,LBN,4.2,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Lebanon,LBN,70.52654949596491,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
11,Social issues ,Net migration,C8_International travel controls,Lebanon,LBN,-150060.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Lebanon,LBN,0.004562,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Lebanon,LBN,19.7,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Lebanon,LBN,6.12628,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Lebanon,LBN,46.9720001,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Lebanon,LBN,22.8719997,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Lebanon,LBN,33.19,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Lebanon,LBN,0.000335,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Lebanon,LBN,40.4644,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Lebanon,LBN,0.01951,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Lebanon,LBN,0.086103,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Lebanon,LBN,882175.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Lebanon,LBN,0.050605,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Lebanon,LBN,24796.25,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Lebanon,LBN,4.583799839019775,score,2021.0
27,Governance,Serious assault (rate),C8_International travel controls,Lebanon,LBN,111.57,rate,2016.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Lebanon,LBN,-23.2527132319496,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Lebanon,LBN,-1.63874,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Lebanon,LBN,10.4,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Lebanon,LBN,61.8165,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Lebanon,LBN,2.1038,Ones,2018.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Lebanon,LBN,3.64671967049883,percent of total final energy consumption,2015.0
35,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Lebanon,LBN,0.1,percent,2019.0
36,Health,Prevalence of obesity,C8_International travel controls,Lebanon,LBN,32.0,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Lebanon,LBN,2588.300670189272,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Lebanon,LBN,100.0,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Lebanon,LBN,4.6875,proportion,2020.0
