rank,Category,Indicator,Policy,Country,ISO,value,unit,year
2,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Palau,PLW,99.9999978055265,proportion,2017.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Economics,Volume of imports,C8_International travel controls,Palau,PLW,2.265,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Palau,PLW,6.4,percent,2018.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Palau,PLW,0.000787,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Palau,PLW,6.92896,per 100 people,2019.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Palau,PLW,0.000102,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Palau,PLW,22.78077,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Palau,PLW,0.014518,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Palau,PLW,0.181243,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Palau,PLW,7204.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Palau,PLW,0.037978,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Palau,PLW,223.687,kt,2016.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Palau,PLW,0.8625854,score,2019.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Palau,PLW,134.407,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Palau,PLW,1.4205,Ones,2014.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Palau,PLW,0.0,percent of total final energy consumption,2015.0
36,Health,Prevalence of obesity,C8_International travel controls,Palau,PLW,55.3,percent,2016.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Palau,PLW,12.5,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Palau,PLW,97.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Palau,PLW,0.044062,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Palau,PLW,12.61986,metric tons per capita,2016.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Palau,PLW,1.094265,score,2019.0
49,Governance,Total freedom in the world score ,C8_International travel controls,Palau,PLW,92.0,score,2021.0
51,Governance,Control of corruption estimate,C8_International travel controls,Palau,PLW,-0.4493027,score,2019.0
53,Health,Mortality due to COVID-19,C8_International travel controls,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
56,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Palau,PLW,29.93,percent,2014.0
58,Governance,Government effectiveness estimate,C8_International travel controls,Palau,PLW,-0.0454221,score,2019.0
59,Governance,Human Development Index,C8_International travel controls,Palau,PLW,0.826,index,2019.0
60,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Palau,PLW,0.349381,percent,2019.0
61,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Palau,PLW,37.0,score,2021.0
63,Governance,Rule of law estimate ,C8_International travel controls,Palau,PLW,0.3144576,score,2019.0
66,Governance,Regulatory quality estimate,C8_International travel controls,Palau,PLW,-0.007541,score,2019.0
67,Demographics,Rural population (% of total population),C8_International travel controls,Palau,PLW,19.53,proportion,2019.0
71,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Palau,PLW,38.0,Cases,2019.0
73,Economics,"Central government debt, total",C8_International travel controls,Palau,PLW,68.7028397772155,percent of GDP,2016.0
77,Demographics,Secure Internet servers ,C8_International travel controls,Palau,PLW,721.901377165704,per 1 million people,2019.0
78,Demographics,Urban population (% of total population),C8_International travel controls,Palau,PLW,80.47,total,2019.0
79,Economics,Volume of exports,C8_International travel controls,Palau,PLW,7.35,percent change,2020.0
80,Health,Prevalence of chronic kidney disease,C8_International travel controls,Palau,PLW,0.148389,percent,2019.0
81,Demographics,"Population, total",C8_International travel controls,Palau,PLW,18008.0,total,2019.0
82,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Palau,PLW,11.166322372,"proportion, pero 100,000 people",2018.0
83,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Palau,PLW,55.0,score,2021.0
84,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Palau,PLW,7.2626,Ones,2018.0
85,Environment,Access to electricity ,C8_International travel controls,Palau,PLW,100.0,percent of population,2018.0
86,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Palau,PLW,97.0,percent,2019.0
96,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Palau,PLW,100.429176330566,proportion,2014.0
99,Economics,"Trade, total as % of GDP",C8_International travel controls,Palau,PLW,62.33859,percent,2015.0
102,Economics,"Foreign direct investment, net",C8_International travel controls,Palau,PLW,21500000.0,US Dollar,2018.0
105,Economics,"International tourism, receipts",C8_International travel controls,Palau,PLW,116000000.0,US Dollar,2017.0
106,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C8_International travel controls,Palau,PLW,96.5937423706055,proportion,2015.0
