rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Eswatini,SWZ,47.0,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Eswatini,SWZ,7202.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Eswatini,SWZ,21.9710007,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Eswatini,SWZ,17.16879,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Eswatini,SWZ,64.1809998,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Eswatini,SWZ,-0.343,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Eswatini,SWZ,2.1,percent,2018.0
11,Social issues ,Net migration,C8_International travel controls,Eswatini,SWZ,-41764.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Eswatini,SWZ,0.00039,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Eswatini,SWZ,9.7,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Eswatini,SWZ,0.711234,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Eswatini,SWZ,52.6559982,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Eswatini,SWZ,48.6399994,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Eswatini,SWZ,45.15,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Eswatini,SWZ,0.000284,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Eswatini,SWZ,8.281146,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Eswatini,SWZ,0.003443,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Eswatini,SWZ,0.036927,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Eswatini,SWZ,41000.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Eswatini,SWZ,0.038718,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Eswatini,SWZ,1155.105,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Eswatini,SWZ,4.30810022354126,score,2021.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Eswatini,SWZ,5.01655953443727,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Eswatini,SWZ,-0.3785959,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Eswatini,SWZ,22.6,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Eswatini,SWZ,93.5273,per 100 people,2019.0
