rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Turkey,TUR,73.9767,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Turkey,TUR,1167752.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Turkey,TUR,12.941,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Turkey,TUR,44.31153,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Turkey,TUR,55.9059982,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Turkey,TUR,7.8,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Turkey,TUR,3.2,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Turkey,TUR,63.11241707922158,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
11,Social issues ,Net migration,C8_International travel controls,Turkey,TUR,1419610.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Turkey,TUR,0.003368,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Turkey,TUR,17.0587,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Turkey,TUR,52.7179985,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Turkey,TUR,33.9339981,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Turkey,TUR,50.02,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Turkey,TUR,0.000243,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Turkey,TUR,31.46364,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Turkey,TUR,0.01005,percent,2019.0
21,Economics,Unemployment rate (%) - Annual,C8_International travel controls,Turkey,TUR,14.0,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Turkey,TUR,0.063307,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Turkey,TUR,11532900.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Turkey,TUR,0.045968,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Turkey,TUR,372724.9,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Turkey,TUR,4.9475998878479,score,2021.0
27,Governance,Serious assault (rate),C8_International travel controls,Turkey,TUR,102.82,rate,2014.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Turkey,TUR,12.1491291431677,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Turkey,TUR,-1.342829,score,2019.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Turkey,TUR,96.8372,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Turkey,TUR,1.8492,Ones,2017.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Turkey,TUR,13.3742300375217,percent of total final energy consumption,2015.0
36,Health,Prevalence of obesity,C8_International travel controls,Turkey,TUR,32.1,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Turkey,TUR,2847.126382623182,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Turkey,TUR,100.0,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Turkey,TUR,17.31748727,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Turkey,TUR,99.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Turkey,TUR,0.05017,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Turkey,TUR,4.669467,metric tons per capita,2016.0
44,Governance,Human Freedom Score ,C8_International travel controls,Turkey,TUR,6.27,score,2018.0
45,Governance,Fragile States Index Total ,C8_International travel controls,Turkey,TUR,79.14739400388918,score,2020.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Turkey,TUR,-0.814703,score,2019.0
