rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Tuvalu,TUV,49.3183,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Tuvalu,TUV,84.07847367017,proportion,2017.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Tuvalu,TUV,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Tuvalu,TUV,15.2,percent,2018.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Tuvalu,TUV,0.002918,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Tuvalu,TUV,6.4,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Tuvalu,TUV,3.95778,per 100 people,2019.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Tuvalu,TUV,0.000145,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Tuvalu,TUV,26.98035,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Tuvalu,TUV,0.006103,percent,2019.0
21,Economics,Unemployment rate (%) - Annual,C8_International travel controls,Tuvalu,TUV,8.7,percent,2016.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Tuvalu,TUV,0.112408,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Tuvalu,TUV,2000.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Tuvalu,TUV,0.031974,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Tuvalu,TUV,11.001,kt,2016.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Tuvalu,TUV,1.204567,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Tuvalu,TUV,9.7,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Tuvalu,TUV,70.3606,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Tuvalu,TUV,0.9174,Ones,2014.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Tuvalu,TUV,0.0,percent of total final energy consumption,2015.0
36,Health,Prevalence of obesity,C8_International travel controls,Tuvalu,TUV,51.6,percent,2016.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Tuvalu,TUV,6.25,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Tuvalu,TUV,92.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Tuvalu,TUV,0.042138,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Tuvalu,TUV,0.980045,metric tons per capita,2016.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Tuvalu,TUV,1.122499,score,2019.0
49,Governance,Total freedom in the world score ,C8_International travel controls,Tuvalu,TUV,93.0,score,2021.0
50,Economics,Expenditure on social protection (% of GDP),C8_International travel controls,Tuvalu,TUV,9.08319,percent,2016.0
51,Governance,Control of corruption estimate,C8_International travel controls,Tuvalu,TUV,0.4090785,score,2019.0
53,Health,Mortality due to COVID-19,C8_International travel controls,Tuvalu,TUV,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
56,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Tuvalu,TUV,35.93,percent,2016.0
58,Governance,Government effectiveness estimate,C8_International travel controls,Tuvalu,TUV,-0.6466321,score,2019.0
60,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Tuvalu,TUV,0.408519,percent,2019.0
61,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Tuvalu,TUV,37.0,score,2021.0
63,Governance,Rule of law estimate ,C8_International travel controls,Tuvalu,TUV,0.4812893,score,2019.0
66,Governance,Regulatory quality estimate,C8_International travel controls,Tuvalu,TUV,-0.5554741,score,2019.0
67,Demographics,Rural population (% of total population),C8_International travel controls,Tuvalu,TUV,36.785,proportion,2019.0
71,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Tuvalu,TUV,296.0,Cases,2019.0
77,Demographics,Secure Internet servers ,C8_International travel controls,Tuvalu,TUV,85.86639189421261,per 1 million people,2019.0
78,Demographics,Urban population (% of total population),C8_International travel controls,Tuvalu,TUV,63.215,total,2019.0
80,Health,Prevalence of chronic kidney disease,C8_International travel controls,Tuvalu,TUV,0.101596,percent,2019.0
81,Demographics,"Population, total",C8_International travel controls,Tuvalu,TUV,11646.0,total,2019.0
83,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Tuvalu,TUV,56.0,score,2021.0
84,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Tuvalu,TUV,4.2609,Ones,2018.0
85,Environment,Access to electricity ,C8_International travel controls,Tuvalu,TUV,100.0,percent of population,2018.0
86,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Tuvalu,TUV,96.0,percent,2019.0
87,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C8_International travel controls,Tuvalu,TUV,3.5,rating,2019.0
91,Social issues ,Progression to secondary school (%),C8_International travel controls,Tuvalu,TUV,93.66516,proportion,2015.0
96,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Tuvalu,TUV,78.7148590087891,proportion,2018.0
99,Economics,"Trade, total as % of GDP",C8_International travel controls,Tuvalu,TUV,60.96293,percent,2017.0
102,Economics,"Foreign direct investment, net",C8_International travel controls,Tuvalu,TUV,298860.0,US Dollar,2018.0
103,Economics,Expenditure on education (% of GDP),C8_International travel controls,Tuvalu,TUV,20.40146,percent,2016.0
114,Economics,Expenditure on health (% of GDP),C8_International travel controls,Tuvalu,TUV,9.62269,percent,2016.0
