rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Zambia,ZMB,14.3,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Zambia,ZMB,18576.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Zambia,ZMB,11.4119997,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Zambia,ZMB,27.43803,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Zambia,ZMB,40.7179985,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Zambia,ZMB,1.63,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Zambia,ZMB,1.9,percent,2018.0
11,Social issues ,Net migration,C8_International travel controls,Zambia,ZMB,-40000.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Zambia,ZMB,0.000874,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Zambia,ZMB,5.7,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Zambia,ZMB,0.497681,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Zambia,ZMB,74.5739975,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Zambia,ZMB,70.3860016,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Zambia,ZMB,37.0,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Zambia,ZMB,0.000162,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Zambia,ZMB,16.25291,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Zambia,ZMB,0.002766,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Zambia,ZMB,0.018549,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Zambia,ZMB,96719.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Zambia,ZMB,0.031562,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Zambia,ZMB,5141.134,kt,2016.0
26,Social issues ,Life Ladder ,C8_International travel controls,Zambia,ZMB,4.073400020599365,score,2021.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Zambia,ZMB,20.262592337011,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Zambia,ZMB,-0.1022162,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Zambia,ZMB,32.3,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Zambia,ZMB,96.4144,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Zambia,ZMB,1.1867,Ones,2018.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Zambia,ZMB,87.9854523585353,percent of total final energy consumption,2015.0
35,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Zambia,ZMB,11.5,percent,2019.0
36,Health,Prevalence of obesity,C8_International travel controls,Zambia,ZMB,8.1,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Zambia,ZMB,717.3491678730172,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Zambia,ZMB,100.0,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Zambia,ZMB,16.76646707,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Zambia,ZMB,88.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Zambia,ZMB,0.03598,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Zambia,ZMB,0.314183,metric tons per capita,2016.0
44,Governance,Human Freedom Score ,C8_International travel controls,Zambia,ZMB,6.71,score,2018.0
45,Governance,Fragile States Index Total ,C8_International travel controls,Zambia,ZMB,84.47412891194057,score,2020.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Zambia,ZMB,-0.2861988,score,2019.0
47,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Zambia,ZMB,3.00617605476598,percent of total,2015.0
48,Governance,Corruption Perceptions Index,C8_International travel controls,Zambia,ZMB,33.0,score,2020.0
49,Governance,Total freedom in the world score ,C8_International travel controls,Zambia,ZMB,52.0,score,2021.0
51,Governance,Control of corruption estimate,C8_International travel controls,Zambia,ZMB,-0.6403451,score,2019.0
52,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Zambia,ZMB,57.1,index ,2015.0
