rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Bahamas,BHS,85.0,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Bahamas,BHS,94.9305823307593,proportion,2017.0
3,Governance,Regulatory quality estimate,E1_Income support,Bahamas,BHS,-0.0483038,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Bahamas,BHS,7733.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Bahamas,BHS,0.003148,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Bahamas,BHS,31.958171469,"proportion, pero 100,000 people",2017.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Bahamas,BHS,91129.0,number,2019.0
10,Economics,Volume of imports,E1_Income support,Bahamas,BHS,-2.25,percent change,2020.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Bahamas,BHS,74.4759979,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Bahamas,BHS,0.014879,percent,2019.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Bahamas,BHS,21.1293,per 100 people,2019.0
17,Demographics,Secure Internet servers ,E1_Income support,Bahamas,BHS,1586.72287807909,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Bahamas,BHS,0.0765319,score,2019.0
19,Economics,Volume of exports,E1_Income support,Bahamas,BHS,3.436,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Bahamas,BHS,4999.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Bahamas,BHS,0.266667,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Bahamas,BHS,86.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Bahamas,BHS,11.2700005,percent of total labor force,2020.0
