rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Cameroon,CMR,23.203,percent of population,2019.0
3,Governance,Regulatory quality estimate,E1_Income support,Cameroon,CMR,-0.8270048,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Cameroon,CMR,25724.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Cameroon,CMR,0.000661,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Cameroon,CMR,1.388093415,"proportion, pero 100,000 people",2017.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Cameroon,CMR,925978.0,number,2019.0
9,Social issues ,Gini index (World Bank estimate),E1_Income support,Cameroon,CMR,46.6,index ,2014.0
10,Economics,Volume of imports,E1_Income support,Cameroon,CMR,2.198,percent change,2020.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Cameroon,CMR,49.26,percent,2014.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Cameroon,CMR,75.9369965,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Cameroon,CMR,0.002293,percent,2019.0
14,Social issues ,Life Ladder ,E1_Income support,Cameroon,CMR,5.1417999267578125,score,2021.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Cameroon,CMR,0.772566,per 100 people,2019.0
16,Environment,Energy use ,E1_Income support,Cameroon,CMR,99.68331686291394,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
17,Demographics,Secure Internet servers ,E1_Income support,Cameroon,CMR,15.14895051007908,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Cameroon,CMR,-1.118909,score,2019.0
19,Economics,Volume of exports,E1_Income support,Cameroon,CMR,5.477,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Cameroon,CMR,-24000.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Cameroon,CMR,0.235396,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Cameroon,CMR,67.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Cameroon,CMR,3.42799997,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,Cameroon,CMR,43.28,score,2020.0
25,Demographics,Mobile cellular subscriptions,E1_Income support,Cameroon,CMR,81.7553,per 100 people,2019.0
26,Environment,Electric power consumption ,E1_Income support,Cameroon,CMR,275.1979136806165,kWh per capita,2014.0
27,Governance,Serious assault (rate),E1_Income support,Cameroon,CMR,18.15,rate,2017.0
28,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,Cameroon,CMR,76000000.0,kWh,2015.0
29,Governance,Control of corruption estimate,E1_Income support,Cameroon,CMR,-1.208662,score,2019.0
30,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Cameroon,CMR,0.2,percent,2018.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Cameroon,CMR,179.0,Cases,2019.0
33,Environment,Renewable energy consumption ,E1_Income support,Cameroon,CMR,76.5384004118885,percent of total final energy consumption,2015.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Cameroon,CMR,335.2015077424433,kg of oil equivalent per capita,2014.0
35,Health,Prevalence of anxiety disorders,E1_Income support,Cameroon,CMR,0.031155,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,E1_Income support,Cameroon,CMR,7.0,score,2021.0
