rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Fiji,FJI,49.9664,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Fiji,FJI,95.0721750698175,proportion,2017.0
3,Governance,Regulatory quality estimate,E1_Income support,Fiji,FJI,-0.2174181,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Fiji,FJI,46.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Fiji,FJI,0.002623,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Fiji,FJI,2.3082773672,"proportion, pero 100,000 people",2014.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Fiji,FJI,76522.0,number,2019.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Fiji,FJI,38.89,percent,2016.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Fiji,FJI,57.5779991,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Fiji,FJI,0.005991,percent,2019.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Fiji,FJI,1.47518,per 100 people,2019.0
17,Demographics,Secure Internet servers ,E1_Income support,Fiji,FJI,210.1234559577865,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Fiji,FJI,-0.0257588,score,2019.0
20,Social issues ,Net migration,E1_Income support,Fiji,FJI,-31008.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Fiji,FJI,0.411613,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Fiji,FJI,99.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Fiji,FJI,4.07999992,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,Fiji,FJI,27.41,score,2020.0
25,Demographics,Mobile cellular subscriptions,E1_Income support,Fiji,FJI,117.831,per 100 people,2019.0
29,Governance,Control of corruption estimate,E1_Income support,Fiji,FJI,0.5585566,score,2019.0
30,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Fiji,FJI,2.3,percent,2018.0
31,Health,"Physicians (per 1,000 people)",E1_Income support,Fiji,FJI,0.86,Ones,2015.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Fiji,FJI,66.0,Cases,2019.0
33,Environment,Renewable energy consumption ,E1_Income support,Fiji,FJI,31.2639470878642,percent of total final energy consumption,2015.0
35,Health,Prevalence of anxiety disorders,E1_Income support,Fiji,FJI,0.041858,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,E1_Income support,Fiji,FJI,24.0,score,2021.0
37,Environment,CO2 emissions (kt),E1_Income support,Fiji,FJI,2046.186,kt,2016.0
39,Health,Mortality due to COVID-19,E1_Income support,Fiji,FJI,2.0,"Number (cumulative total by Dec 26,2020)",2020.0
40,Governance,Human Freedom Score ,E1_Income support,Fiji,FJI,6.98,score,2018.0
42,Economics,"International tourism, receipts",E1_Income support,Fiji,FJI,963000000.0,US Dollar,2019.0
45,Health,"Prevalence of HIV, total (% of population ages 15-49)",E1_Income support,Fiji,FJI,0.2,percent,2019.0
46,Governance,Fragile States Index Total ,E1_Income support,Fiji,FJI,69.85212211648623,score,2020.0
47,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Fiji,FJI,82.8031823467088,percent of total,2017.0
50,Health,Prevalence of Depressive disorders,E1_Income support,Fiji,FJI,0.030106,percent,2019.0
52,Demographics,Rural population (% of total population),E1_Income support,Fiji,FJI,43.25,proportion,2019.0
