rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Guyana,GUY,37.3258,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Guyana,GUY,85.7631015015164,proportion,2017.0
3,Governance,Regulatory quality estimate,E1_Income support,Guyana,GUY,-0.6206163,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Guyana,GUY,6042.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Guyana,GUY,0.001938,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Guyana,GUY,14.248909188,"proportion, pero 100,000 people",2018.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Guyana,GUY,135795.0,number,2019.0
10,Economics,Volume of imports,E1_Income support,Guyana,GUY,20.064,percent change,2020.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Guyana,GUY,37.86,percent,2017.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Guyana,GUY,56.1969986,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Guyana,GUY,0.007256,percent,2019.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Guyana,GUY,8.37038,per 100 people,2019.0
17,Demographics,Secure Internet servers ,E1_Income support,Guyana,GUY,62.59852880682094,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Guyana,GUY,-0.4313481,score,2019.0
19,Economics,Volume of exports,E1_Income support,Guyana,GUY,66.164,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Guyana,GUY,-30001.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Guyana,GUY,0.308469,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Guyana,GUY,99.0,percent,2019.0
