rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Jordan,JOR,66.7903,percent of population,2019.0
3,Governance,Regulatory quality estimate,E1_Income support,Jordan,JOR,0.0346094,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Jordan,JOR,0.003102,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Jordan,JOR,1.3591066275,"proportion, pero 100,000 people",2017.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Jordan,JOR,356046.0,number,2019.0
10,Economics,Volume of imports,E1_Income support,Jordan,JOR,2.242,percent change,2020.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Jordan,JOR,39.1899986,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Jordan,JOR,0.005894,percent,2019.0
14,Social issues ,Life Ladder ,E1_Income support,Jordan,JOR,4.394599914550781,score,2021.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Jordan,JOR,4.65247,per 100 people,2019.0
16,Environment,Energy use ,E1_Income support,Jordan,JOR,89.1733987991687,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
17,Demographics,Secure Internet servers ,E1_Income support,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Jordan,JOR,0.1439575,score,2019.0
19,Economics,Volume of exports,E1_Income support,Jordan,JOR,4.933,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Jordan,JOR,0.068178,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Jordan,JOR,89.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Jordan,JOR,14.6129999,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,Jordan,JOR,42.08,score,2020.0
