rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Kuwait,KWT,99.5427,percent of population,2019.0
3,Governance,Regulatory quality estimate,E1_Income support,Kuwait,KWT,0.0649239,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Kuwait,KWT,147531.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Kuwait,KWT,0.003101,percent,2019.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Kuwait,KWT,515542.0,number,2019.0
10,Economics,Volume of imports,E1_Income support,Kuwait,KWT,3.584,percent change,2020.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Kuwait,KWT,13.61,percent,2016.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Kuwait,KWT,73.3639984,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Kuwait,KWT,0.00651,percent,2019.0
14,Social issues ,Life Ladder ,E1_Income support,Kuwait,KWT,6.106100082397461,score,2021.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Kuwait,KWT,2.01078,per 100 people,2019.0
16,Environment,Energy use ,E1_Income support,Kuwait,KWT,162.035694398559,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
17,Demographics,Secure Internet servers ,E1_Income support,Kuwait,KWT,438.3084431659656,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Kuwait,KWT,0.215674,score,2019.0
19,Economics,Volume of exports,E1_Income support,Kuwait,KWT,2.432,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Kuwait,KWT,197600.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Kuwait,KWT,0.159169,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Kuwait,KWT,91.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Kuwait,KWT,2.30299997,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,Kuwait,KWT,34.3,score,2020.0
25,Demographics,Mobile cellular subscriptions,E1_Income support,Kuwait,KWT,174.159,per 100 people,2019.0
26,Environment,Electric power consumption ,E1_Income support,Kuwait,KWT,15590.60413049138,kWh per capita,2014.0
28,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,Kuwait,KWT,0.0,kWh,2015.0
29,Governance,Control of corruption estimate,E1_Income support,Kuwait,KWT,-0.132789,score,2019.0
30,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Kuwait,KWT,4.4,percent,2018.0
31,Health,"Physicians (per 1,000 people)",E1_Income support,Kuwait,KWT,2.6463,Ones,2015.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Kuwait,KWT,22.0,Cases,2019.0
33,Environment,Renewable energy consumption ,E1_Income support,Kuwait,KWT,0.0,percent of total final energy consumption,2015.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Kuwait,KWT,9178.885547073227,kg of oil equivalent per capita,2014.0
35,Health,Prevalence of anxiety disorders,E1_Income support,Kuwait,KWT,0.052155,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,E1_Income support,Kuwait,KWT,14.0,score,2021.0
37,Environment,CO2 emissions (kt),E1_Income support,Kuwait,KWT,98733.98,kt,2016.0
39,Health,Mortality due to COVID-19,E1_Income support,Kuwait,KWT,916.0,"Number (cumulative total by Dec 26,2020)",2020.0
40,Governance,Human Freedom Score ,E1_Income support,Kuwait,KWT,6.39,score,2018.0
41,Environment,Combustible renewables and waste,E1_Income support,Kuwait,KWT,0.0,percent of total energy,2014.0
44,Environment,"Adjusted net savings, including particulate emission damage",E1_Income support,Kuwait,KWT,18.8837257964463,percent of GNI,2018.0
46,Governance,Fragile States Index Total ,E1_Income support,Kuwait,KWT,50.899274182096256,score,2020.0
47,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Kuwait,KWT,100.0,percent of total,2017.0
50,Health,Prevalence of Depressive disorders,E1_Income support,Kuwait,KWT,0.048968,percent,2019.0
51,Governance,Corruption Perceptions Index,E1_Income support,Kuwait,KWT,42.0,score,2020.0
53,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Kuwait,KWT,7.1,percent,2020.0
54,Health,Prevalence of obesity,E1_Income support,Kuwait,KWT,37.9,percent,2016.0
55,Health,Summary exposure value tobacco,E1_Income support,Kuwait,KWT,29.30509,Rate (risk-weighted prevalence),2019.0
56,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Kuwait,KWT,100.0,percent of total,2015.0
57,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E1_Income support,Kuwait,KWT,6.0,percent,2020.0
58,Environment,"Energy imports, net ",E1_Income support,Kuwait,KWT,-391.0584858196405,percent of energy use,2014.0
59,Environment,Electricity production from oil sources,E1_Income support,Kuwait,KWT,63.5810830707618,percent of total,2015.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),E1_Income support,Kuwait,KWT,73.6610031,Percentage of total employment,2020.0
64,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E1_Income support,Kuwait,KWT,49.3390007,Percentage of females of the total population,2020.0
65,Health,Prevalence of down syndrome,E1_Income support,Kuwait,KWT,0.000279,percent,2019.0
67,Environment,Electricity production from coal sources ,E1_Income support,Kuwait,KWT,0.0,percent of total,2015.0
68,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Kuwait,KWT,6.349206349,proportion,2020.0
69,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Kuwait,KWT,98.0,percent,2019.0
70,Governance,Economic Freedom Score,E1_Income support,Kuwait,KWT,6.6,score,2018.0
74,Governance,Personal Freedom Score ,E1_Income support,Kuwait,KWT,6.18,score,2018.0
75,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Kuwait,KWT,23.0,score,2021.0
76,Health,Prevalence of chronic kidney disease,E1_Income support,Kuwait,KWT,0.084807,percent,2019.0
78,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Kuwait,KWT,60.74516,micrograms per cubic meter,2017.0
79,Environment,Electricity production from nuclear sources ,E1_Income support,Kuwait,KWT,0.0,percent of total,2014.0
80,Health,Prevalence of Diabetes,E1_Income support,Kuwait,KWT,0.095441,percent,2019.0
