rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Panama,PAN,63.6284,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Panama,PAN,83.3154589674842,proportion,2017.0
3,Governance,Regulatory quality estimate,E1_Income support,Panama,PAN,0.361897,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,Panama,PAN,203295.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,Panama,PAN,0.001417,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Panama,PAN,9.3850224618,"proportion, pero 100,000 people",2018.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,Panama,PAN,741269.0,number,2019.0
8,Social issues ,Coverage of unemployment benefits and ALMP (% of population),E1_Income support,Panama,PAN,1.275084594,proportion,2018.0
9,Social issues ,Gini index (World Bank estimate),E1_Income support,Panama,PAN,49.2,index ,2018.0
10,Economics,Volume of imports,E1_Income support,Panama,PAN,7.538,percent change,2020.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Panama,PAN,48.49,percent,2018.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Panama,PAN,66.5429993,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,Panama,PAN,0.009725,percent,2019.0
14,Social issues ,Life Ladder ,E1_Income support,Panama,PAN,6.179599761962891,score,2021.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,Panama,PAN,13.5281,per 100 people,2019.0
16,Environment,Energy use ,E1_Income support,Panama,PAN,39.47232420109791,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
17,Demographics,Secure Internet servers ,E1_Income support,Panama,PAN,1893.115619934727,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,Panama,PAN,-0.119035,score,2019.0
19,Economics,Volume of exports,E1_Income support,Panama,PAN,7.271,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,Panama,PAN,56000.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Panama,PAN,0.265443,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Panama,PAN,88.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,Panama,PAN,3.82500005,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,Panama,PAN,29.78,score,2020.0
25,Demographics,Mobile cellular subscriptions,E1_Income support,Panama,PAN,131.852,per 100 people,2019.0
26,Environment,Electric power consumption ,E1_Income support,Panama,PAN,2064.175797135069,kWh per capita,2014.0
27,Governance,Serious assault (rate),E1_Income support,Panama,PAN,102.09,rate,2018.0
