rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,South Africa,ZAF,56.1674,percent of population,2019.0
3,Governance,Regulatory quality estimate,E1_Income support,South Africa,ZAF,0.1561717,score,2019.0
4,Health,Prevalence of COVID-19,E1_Income support,South Africa,ZAF,901538.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of Hypertensive heart disease,E1_Income support,South Africa,ZAF,0.001253,percent,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,South Africa,ZAF,35.9,"proportion, pero 100,000 people",2017.0
7,Demographics,Fixed telephone subscriptions,E1_Income support,South Africa,ZAF,2024730.0,number,2019.0
9,Social issues ,Gini index (World Bank estimate),E1_Income support,South Africa,ZAF,63.0,index ,2014.0
10,Economics,Volume of imports,E1_Income support,South Africa,ZAF,3.298,percent change,2020.0
11,Social issues ,Proportion of women in managerial positions (%),E1_Income support,South Africa,ZAF,30.46,percent,2018.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,South Africa,ZAF,55.9889984,Percentage of total population,2020.0
13,Health,Prevalence of total cancers,E1_Income support,South Africa,ZAF,0.004801,percent,2019.0
14,Social issues ,Life Ladder ,E1_Income support,South Africa,ZAF,4.956399917602539,score,2021.0
15,Demographics,Fixed broadband subscriptions,E1_Income support,South Africa,ZAF,2.13523,per 100 people,2019.0
16,Environment,Energy use ,E1_Income support,South Africa,ZAF,209.2055568944703,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
17,Demographics,Secure Internet servers ,E1_Income support,South Africa,ZAF,14353.10503537758,per 1 million people,2019.0
18,Governance,Rule of law estimate ,E1_Income support,South Africa,ZAF,-0.0764077,score,2019.0
19,Economics,Volume of exports,E1_Income support,South Africa,ZAF,3.28,percent change,2020.0
20,Social issues ,Net migration,E1_Income support,South Africa,ZAF,727026.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,South Africa,ZAF,0.477501,percent,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,South Africa,ZAF,77.0,percent,2019.0
23,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,South Africa,ZAF,28.4769993,percent of total labor force,2020.0
24,Social issues ,Press freedom score,E1_Income support,South Africa,ZAF,22.41,score,2020.0
25,Demographics,Mobile cellular subscriptions,E1_Income support,South Africa,ZAF,165.6,per 100 people,2019.0
26,Environment,Electric power consumption ,E1_Income support,South Africa,ZAF,4197.907046917527,kWh per capita,2014.0
27,Governance,Serious assault (rate),E1_Income support,South Africa,ZAF,293.55,rate,2017.0
28,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,South Africa,ZAF,4763000000.0,kWh,2015.0
29,Governance,Control of corruption estimate,E1_Income support,South Africa,ZAF,0.0849239,score,2019.0
30,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,South Africa,ZAF,4.5,percent,2018.0
