rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Congo (Dem. Rep.),COD,8.6199,percent of population,2019.0
3,Governance,Regulatory quality estimate,E2_Debt/contract relief,Congo (Dem. Rep.),COD,-1.509667,score,2019.0
5,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.0,number,2019.0
7,Social issues ,Net migration,E2_Debt/contract relief,Congo (Dem. Rep.),COD,119303.0,net total / data are 5 year estimates,2019.0
8,Health,Prevalence of Diabetes,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.026853,percent,2019.0
9,Health,Prevalence of COVID-19,E2_Debt/contract relief,Congo (Dem. Rep.),COD,15087.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.034311,percent,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.5,percent,2018.0
12,Health,Prevalence of total cancers,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.001767,percent,2019.0
13,Environment,Electricity production from oil sources,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.1341981659583986,percent of total,2015.0
14,Economics,Volume of imports,E2_Debt/contract relief,Congo (Dem. Rep.),COD,14.27,percent change,2020.0
15,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.042079,percent,2019.0
16,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,57.0,percent,2019.0
17,Demographics,Secure Internet servers ,E2_Debt/contract relief,Congo (Dem. Rep.),COD,3.030283233430196,per 1 million people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Congo (Dem. Rep.),COD,389.3319230635703,kg of oil equivalent per capita,2014.0
19,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Congo (Dem. Rep.),COD,0.00549555,per 100 people,2019.0
20,Environment,"Energy imports, net ",E2_Debt/contract relief,Congo (Dem. Rep.),COD,1.959267301396918,percent of energy use,2014.0
21,Health,Prevalence of obesity,E2_Debt/contract relief,Congo (Dem. Rep.),COD,6.7,percent,2016.0
22,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Congo (Dem. Rep.),COD,25.1000004,Percentage of total employment,2020.0
23,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Congo (Dem. Rep.),COD,42.7733,per 100 people,2019.0
24,Governance,Voice and accountability estimate,E2_Debt/contract relief,Congo (Dem. Rep.),COD,-1.365966,score,2019.0
25,Health,Summary exposure value tobacco,E2_Debt/contract relief,Congo (Dem. Rep.),COD,6.374913,Rate (risk-weighted prevalence),2019.0
26,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,1.1101,Ones,2018.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,63.2190018,Percentage of total population,2020.0
28,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,320.0,Cases,2019.0
29,Governance,Human Freedom Score ,E2_Debt/contract relief,Congo (Dem. Rep.),COD,5.29,score,2018.0
30,Environment,CO2 emissions (kt),E2_Debt/contract relief,Congo (Dem. Rep.),COD,2020.517,kt,2016.0
32,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,4.25,percent of total labor force,2020.0
33,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Congo (Dem. Rep.),COD,-7.93567786303182,percent of GNI,2018.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Congo (Dem. Rep.),COD,60.4430008,Percentage of females of the total population,2020.0
