rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Cayman Islands,CYM,81.0677,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E2_Debt/contract relief,Cayman Islands,CYM,83.654025,proportion,2016.0
3,Governance,Regulatory quality estimate,E2_Debt/contract relief,Cayman Islands,CYM,0.9827613,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Cayman Islands,CYM,8.2171969498,"proportion, pero 100,000 people",2014.0
5,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Cayman Islands,CYM,34768.0,number,2019.0
9,Health,Prevalence of COVID-19,E2_Debt/contract relief,Cayman Islands,CYM,311.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Demographics,Secure Internet servers ,E2_Debt/contract relief,Cayman Islands,CYM,16952.02315698713,per 1 million people,2019.0
19,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Cayman Islands,CYM,49.2758,per 100 people,2019.0
23,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Cayman Islands,CYM,152.498,per 100 people,2019.0
24,Governance,Voice and accountability estimate,E2_Debt/contract relief,Cayman Islands,CYM,0.4956726,score,2019.0
28,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Cayman Islands,CYM,6.0,Cases,2019.0
30,Environment,CO2 emissions (kt),E2_Debt/contract relief,Cayman Islands,CYM,546.383,kt,2016.0
39,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Cayman Islands,CYM,8.732487,metric tons per capita,2016.0
49,Health,Mortality due to COVID-19,E2_Debt/contract relief,Cayman Islands,CYM,2.0,"Number (cumulative total by Dec 26,2020)",2020.0
50,Governance,Control of corruption estimate,E2_Debt/contract relief,Cayman Islands,CYM,0.4661654,score,2019.0
55,Governance,Government effectiveness estimate,E2_Debt/contract relief,Cayman Islands,CYM,1.169394,score,2019.0
63,Environment,Access to electricity ,E2_Debt/contract relief,Cayman Islands,CYM,100.0,percent of population,2018.0
64,Social issues ,"Primary completion rate, total (% of relevant age group)",E2_Debt/contract relief,Cayman Islands,CYM,89.5522384643555,proportion,2018.0
65,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Cayman Islands,CYM,1.4457,score,2019.0
67,Environment,Renewable energy consumption ,E2_Debt/contract relief,Cayman Islands,CYM,0.0,percent of total final energy consumption,2015.0
71,Governance,Rule of law estimate ,E2_Debt/contract relief,Cayman Islands,CYM,0.7690086,score,2019.0
76,Demographics,"Population, total",E2_Debt/contract relief,Cayman Islands,CYM,64948.0,total,2019.0
79,Demographics,Rural population (% of total population),E2_Debt/contract relief,Cayman Islands,CYM,0.0,proportion,2019.0
82,Demographics,Refugee population by country or territory of asylum,E2_Debt/contract relief,Cayman Islands,CYM,34.0,proportion,2019.0
88,Demographics,Urban population (% of total population),E2_Debt/contract relief,Cayman Islands,CYM,100.0,total,2019.0
117,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",E2_Debt/contract relief,Cayman Islands,CYM,29.8638706207275,proportion,2015.0
