rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Hong Kong,HKG,91.7434,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),E2_Debt/contract relief,Hong Kong,HKG,96.4362244897959,proportion,2017.0
3,Governance,Regulatory quality estimate,E2_Debt/contract relief,Hong Kong,HKG,1.983408,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Hong Kong,HKG,0.65113634144,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Hong Kong,HKG,4053510.0,number,2019.0
7,Social issues ,Net migration,E2_Debt/contract relief,Hong Kong,HKG,146542.0,net total / data are 5 year estimates,2019.0
13,Environment,Electricity production from oil sources,E2_Debt/contract relief,Hong Kong,HKG,0.4917170654746253,percent of total,2015.0
14,Economics,Volume of imports,E2_Debt/contract relief,Hong Kong,HKG,3.062,percent change,2020.0
17,Demographics,Secure Internet servers ,E2_Debt/contract relief,Hong Kong,HKG,60546.12782055039,per 1 million people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Hong Kong,HKG,1970.484127533024,kg of oil equivalent per capita,2014.0
19,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Hong Kong,HKG,37.4903,per 100 people,2019.0
20,Environment,"Energy imports, net ",E2_Debt/contract relief,Hong Kong,HKG,98.68032373470714,percent of energy use,2014.0
22,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Hong Kong,HKG,88.310997,Percentage of total employment,2020.0
23,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Hong Kong,HKG,288.533,per 100 people,2019.0
24,Governance,Voice and accountability estimate,E2_Debt/contract relief,Hong Kong,HKG,0.2093806,score,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Hong Kong,HKG,59.6669998,Percentage of total population,2020.0
28,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Hong Kong,HKG,63.0,Cases,2019.0
29,Governance,Human Freedom Score ,E2_Debt/contract relief,Hong Kong,HKG,8.74,score,2018.0
30,Environment,CO2 emissions (kt),E2_Debt/contract relief,Hong Kong,HKG,43644.63,kt,2016.0
32,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Hong Kong,HKG,4.26499987,percent of total labor force,2020.0
34,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Hong Kong,HKG,37.0,score,2021.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Hong Kong,HKG,53.6580009,Percentage of females of the total population,2020.0
37,Governance,Personal Freedom Score ,E2_Debt/contract relief,Hong Kong,HKG,8.53,score,2018.0
39,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Hong Kong,HKG,5.948891,metric tons per capita,2016.0
40,Social issues ,Press freedom score,E2_Debt/contract relief,Hong Kong,HKG,30.01,score,2020.0
43,Social issues ,Life Ladder ,E2_Debt/contract relief,Hong Kong,HKG,5.4766998291015625,score,2021.0
44,Economics,Expenditure on social protection (% of GDP),E2_Debt/contract relief,Hong Kong,HKG,3.43543,percent,2018.0
47,Demographics,Age dependency ratio (% of working-age population),E2_Debt/contract relief,Hong Kong,HKG,42.50080813223036,proportion,2019.0
50,Governance,Control of corruption estimate,E2_Debt/contract relief,Hong Kong,HKG,1.672441,score,2019.0
51,Economics,Volume of exports,E2_Debt/contract relief,Hong Kong,HKG,2.981,percent change,2020.0
52,Economics,"International tourism, receipts",E2_Debt/contract relief,Hong Kong,HKG,29043000000.0,US Dollar,2019.0
53,Environment,"Electricity production from oil, gas and coal sources",E2_Debt/contract relief,Hong Kong,HKG,99.72127267946358,percent of total,2015.0
55,Governance,Government effectiveness estimate,E2_Debt/contract relief,Hong Kong,HKG,1.741097,score,2019.0
