rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Benin,BEN,20.0,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Benin,BEN,-0.3759647,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Benin,BEN,1.1274974068,"proportion, pero 100,000 people",2017.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Benin,BEN,35917.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Benin,BEN,3152.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Benin,BEN,0.020487,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Benin,BEN,17.959,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Benin,BEN,0.001737,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Benin,BEN,0.21553,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Benin,BEN,11.76638,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Benin,BEN,55.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Benin,BEN,0.031545,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Benin,BEN,416.7904979973445,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Benin,BEN,70.9570007,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Benin,BEN,0.3888,Ones,2018.0
18,Social issues ,Net migration,H1_Public information campaigns,Benin,BEN,-10000.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Benin,BEN,6.81,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Benin,BEN,32.565,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Benin,BEN,-0.4406517,score,2019.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Benin,BEN,47.74,rate,2017.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Benin,BEN,0.000159,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Benin,BEN,0.037623,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Benin,BEN,94.44444444444444,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Benin,BEN,0.029648,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Benin,BEN,-0.3478641,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Benin,BEN,44.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Benin,BEN,87.702,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Benin,BEN,140.0574456918004,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Benin,BEN,0.0791,Ones,2018.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Benin,BEN,6.2,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Benin,BEN,6475.922,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Benin,BEN,5.045199871063232,score,2021.0
37,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Benin,BEN,1.0,percent,2019.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Benin,BEN,0.0920652,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Benin,BEN,3.15613851834643,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Benin,BEN,0.227839,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Benin,BEN,36.72458,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Benin,BEN,-0.3237639,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Benin,BEN,2.023,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Benin,BEN,9.6,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Benin,BEN,0.000731,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Benin,BEN,41.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Benin,BEN,72.54479808532312,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Benin,BEN,50.8626179373594,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Benin,BEN,76.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Benin,BEN,0.0,percent of total,2014.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Benin,BEN,35.11,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Benin,BEN,0.5,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Benin,BEN,0.545,index,2019.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Benin,BEN,42.9420013,Percentage of total employment,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Benin,BEN,38.99996,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Benin,BEN,41.32633,percent of total energy,2014.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Benin,BEN,71.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Benin,BEN,44.0,"Number (cumulative total by Dec 26,2020)",2020.0
62,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Benin,BEN,2.2,percent,2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Benin,BEN,0.595648,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Benin,BEN,47.8,index ,2015.0
67,Environment,Access to electricity ,H1_Public information campaigns,Benin,BEN,41.529239654541,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Benin,BEN,5000000.0,kWh,2015.0
69,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Benin,BEN,31.3,percent,2020.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Benin,BEN,68.9720001,Percentage of females of the total population,2020.0
74,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H1_Public information campaigns,Benin,BEN,3.5,rating,2019.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Benin,BEN,100.2251225400371,kWh per capita,2014.0
