rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Bosnia and Herzegovina,BIH,69.9463,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-0.1940023,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,1.1733102602,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Bosnia and Herzegovina,BIH,790620.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Bosnia and Herzegovina,BIH,104881.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.129716,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Bosnia and Herzegovina,BIH,7.616,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.017833,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Bosnia and Herzegovina,BIH,22.5958,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Bosnia and Herzegovina,BIH,38.80795,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,27.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.036675,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Bosnia and Herzegovina,BIH,2246.919678447284,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,46.1380005,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,5.7333,Ones,2018.0
18,Social issues ,Net migration,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-107926.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Bosnia and Herzegovina,BIH,7.34,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Bosnia and Herzegovina,BIH,6.006,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-0.634277,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Bosnia and Herzegovina,BIH,24.32,percent,2019.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Bosnia and Herzegovina,BIH,27.35,rate,2018.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.000148,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.122278,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.3135197389468296,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.042006,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-0.4004397,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Bosnia and Herzegovina,BIH,34.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Bosnia and Herzegovina,BIH,111.907,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Bosnia and Herzegovina,BIH,185.7423830661979,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,2.1616,Ones,2015.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Bosnia and Herzegovina,BIH,6.9,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Bosnia and Herzegovina,BIH,21847.99,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Bosnia and Herzegovina,BIH,5.8130998611450195,score,2021.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-0.1992863,score,2019.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.226067,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Bosnia and Herzegovina,BIH,77.52204,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Bosnia and Herzegovina,BIH,-0.6131452,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Bosnia and Herzegovina,BIH,18.4379997,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Bosnia and Herzegovina,BIH,17.9,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Bosnia and Herzegovina,BIH,0.002056,percent,2019.0
