rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Botswana,BWA,47.0,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Botswana,BWA,0.3700964,score,2019.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Botswana,BWA,141077.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Botswana,BWA,12873.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Botswana,BWA,0.04175,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Botswana,BWA,6.593,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Botswana,BWA,0.005663,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Botswana,BWA,1.95386,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Botswana,BWA,21.48769,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Botswana,BWA,253.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Botswana,BWA,0.041586,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Botswana,BWA,1300.636690168696,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Botswana,BWA,70.9690018,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Botswana,BWA,5.403,Ones,2018.0
18,Social issues ,Net migration,H1_Public information campaigns,Botswana,BWA,14999.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Botswana,BWA,7.35,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Botswana,BWA,3.402,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Botswana,BWA,0.429048,score,2019.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Botswana,BWA,806.61,rate,2014.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Botswana,BWA,0.000238,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Botswana,BWA,0.060876,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Botswana,BWA,3.606336366700371,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Botswana,BWA,0.037365,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Botswana,BWA,1.011297,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Botswana,BWA,44.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Botswana,BWA,173.811,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Botswana,BWA,75.33617691356505,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Botswana,BWA,0.5269,Ones,2016.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Botswana,BWA,7.6,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Botswana,BWA,6340.243,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Botswana,BWA,3.4665000438690186,score,2021.0
37,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Botswana,BWA,20.7,percent,2019.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Botswana,BWA,0.5260314,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Botswana,BWA,20.4931459550485,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Botswana,BWA,0.193886,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Botswana,BWA,74.68798,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Botswana,BWA,0.7078156,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Botswana,BWA,18.7210007,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Botswana,BWA,18.9,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Botswana,BWA,0.000472,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Botswana,BWA,60.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Botswana,BWA,57.07123296987986,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Botswana,BWA,28.8798269935477,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Botswana,BWA,95.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Botswana,BWA,0.0,percent of total,2014.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Botswana,BWA,23.56,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Botswana,BWA,4.5,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Botswana,BWA,0.735,index,2019.0
55,Economics,"Central government debt, total",H1_Public information campaigns,Botswana,BWA,15.23546263055361,percent of GDP,2016.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Botswana,BWA,61.5099983,Percentage of total employment,2020.0
57,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Botswana,BWA,10.76923077,proportion,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Botswana,BWA,23.09439,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Botswana,BWA,19.9776,percent of total energy,2014.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Botswana,BWA,97.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Botswana,BWA,38.0,"Number (cumulative total by Dec 26,2020)",2020.0
62,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Botswana,BWA,11.0,percent,2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Botswana,BWA,2.935374,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Botswana,BWA,53.3,index ,2015.0
67,Environment,Access to electricity ,H1_Public information campaigns,Botswana,BWA,64.8517227172852,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Botswana,BWA,1000000.0,kWh,2015.0
69,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Botswana,BWA,22.8,percent,2020.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Botswana,BWA,65.5250015,Percentage of females of the total population,2020.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Botswana,BWA,1815.558068652226,kWh per capita,2014.0
78,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Botswana,BWA,99.96629592180653,percent of total,2015.0
79,Governance,Rule of law estimate ,H1_Public information campaigns,Botswana,BWA,0.4984392,score,2019.0
83,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Botswana,BWA,28.0,score,2021.0
85,Demographics,Secure Internet servers ,H1_Public information campaigns,Botswana,BWA,210.9652441271574,per 1 million people,2019.0
87,Governance,Total freedom in the world score ,H1_Public information campaigns,Botswana,BWA,72.0,score,2021.0
90,Environment,"Energy imports, net ",H1_Public information campaigns,Botswana,BWA,44.49996466077287,percent of energy use,2014.0
103,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Botswana,BWA,100.0,percent of total,2017.0
109,Environment,Electricity production from coal sources ,H1_Public information campaigns,Botswana,BWA,96.35995955510617,percent of total,2015.0
116,Governance,Personal Freedom Score ,H1_Public information campaigns,Botswana,BWA,7.1,score,2018.0
