rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Switzerland,CHE,93.1461,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Switzerland,CHE,1.664479,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Switzerland,CHE,0.58646802447,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Switzerland,CHE,3100000.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Switzerland,CHE,402264.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Switzerland,CHE,0.086262,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Switzerland,CHE,4.386,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Switzerland,CHE,0.035822,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Switzerland,CHE,45.2082,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Switzerland,CHE,23.59876,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Switzerland,CHE,5.4,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Switzerland,CHE,0.047157,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Switzerland,CHE,2960.073389391186,kg of oil equivalent per capita,2015.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Switzerland,CHE,68.0920029,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Switzerland,CHE,17.5357,Ones,2017.0
18,Social issues ,Net migration,H1_Public information campaigns,Switzerland,CHE,259999.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Switzerland,CHE,8.82,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Switzerland,CHE,4.137,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Switzerland,CHE,1.95212,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Switzerland,CHE,34.48,percent,2018.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Switzerland,CHE,6.86,rate,2018.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Switzerland,CHE,0.000533,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Switzerland,CHE,0.114368,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Switzerland,CHE,0.0680817586274717,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Switzerland,CHE,0.075598,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Switzerland,CHE,1.336993,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Switzerland,CHE,57.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Switzerland,CHE,127.189,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Switzerland,CHE,44.73993210704257,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Switzerland,CHE,4.2957,Ones,2017.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Switzerland,CHE,8.43,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Switzerland,CHE,34477.13,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Switzerland,CHE,7.571499824523926,score,2021.0
37,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Switzerland,CHE,0.2,percent,2019.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Switzerland,CHE,1.527955,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Switzerland,CHE,16.9307076712283,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Switzerland,CHE,0.116253,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Switzerland,CHE,50.16823,percent of total,2015.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Switzerland,CHE,1.977295,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Switzerland,CHE,4.84899998,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Switzerland,CHE,20.6,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Switzerland,CHE,0.002014,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Switzerland,CHE,85.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Switzerland,CHE,17.094085702623488,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Switzerland,CHE,25.2919836825127,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Switzerland,CHE,96.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Switzerland,CHE,34.931993887771,percent of total,2015.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Switzerland,CHE,10.62,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Switzerland,CHE,3.7,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Switzerland,CHE,0.955,index,2019.0
55,Economics,"Central government debt, total",H1_Public information campaigns,Switzerland,CHE,19.73491354964092,percent of GDP,2016.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Switzerland,CHE,77.1600037,Percentage of total employment,2020.0
57,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Switzerland,CHE,41.5,proportion,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Switzerland,CHE,10.3031,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Switzerland,CHE,3.871722,percent of total energy,2015.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Switzerland,CHE,95.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Switzerland,CHE,5981.0,"Number (cumulative total by Dec 26,2020)",2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Switzerland,CHE,4.11749,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Switzerland,CHE,32.7,index ,2017.0
67,Environment,Access to electricity ,H1_Public information campaigns,Switzerland,CHE,100.0,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Switzerland,CHE,2853000000.0,kWh,2015.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Switzerland,CHE,62.8499985,Percentage of females of the total population,2020.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Switzerland,CHE,7520.166024945019,kWh per capita,2014.0
78,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Switzerland,CHE,1.069640074436056,percent of total,2015.0
79,Governance,Rule of law estimate ,H1_Public information campaigns,Switzerland,CHE,1.906641,score,2019.0
83,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Switzerland,CHE,39.0,score,2021.0
85,Demographics,Secure Internet servers ,H1_Public information campaigns,Switzerland,CHE,95788.23235254055,per 1 million people,2019.0
87,Governance,Total freedom in the world score ,H1_Public information campaigns,Switzerland,CHE,96.0,score,2021.0
90,Environment,"Energy imports, net ",H1_Public information campaigns,Switzerland,CHE,50.08899720596332,percent of energy use,2015.0
103,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Switzerland,CHE,49.3001362303515,percent of total,2017.0
109,Environment,Electricity production from coal sources ,H1_Public information campaigns,Switzerland,CHE,0.0,percent of total,2015.0
116,Governance,Personal Freedom Score ,H1_Public information campaigns,Switzerland,CHE,9.2,score,2018.0
