rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Cyprus,CYP,86.0636,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Cyprus,CYP,1.012343,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Cyprus,CYP,1.2612864112,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Cyprus,CYP,323914.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Cyprus,CYP,17057.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Cyprus,CYP,0.097302,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Cyprus,CYP,4.449,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Cyprus,CYP,0.028626,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Cyprus,CYP,37.7881,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Cyprus,CYP,31.52972,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Cyprus,CYP,5.3,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Cyprus,CYP,0.038063,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Cyprus,CYP,1712.159752144652,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Cyprus,CYP,62.8569984,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Cyprus,CYP,5.2512,Ones,2016.0
18,Social issues ,Net migration,H1_Public information campaigns,Cyprus,CYP,25000.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Cyprus,CYP,8.05,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Cyprus,CYP,4.745,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Cyprus,CYP,0.9924904,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Cyprus,CYP,16.95,percent,2018.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Cyprus,CYP,11.1,rate,2018.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Cyprus,CYP,0.000612,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Cyprus,CYP,0.092513,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Cyprus,CYP,91.21994264284139,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Cyprus,CYP,0.072166,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Cyprus,CYP,0.5165108,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Cyprus,CYP,56.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Cyprus,CYP,143.85,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Cyprus,CYP,69.93378131805301,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Cyprus,CYP,1.9509,Ones,2016.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Cyprus,CYP,7.84,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Cyprus,CYP,6626.269,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Cyprus,CYP,6.223499774932861,score,2021.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Cyprus,CYP,1.077345,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Cyprus,CYP,8.13654050110795,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Cyprus,CYP,0.122908,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Cyprus,CYP,92.90622,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Cyprus,CYP,0.6048772,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Cyprus,CYP,7.23400021,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Cyprus,CYP,21.8,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Cyprus,CYP,0.001163,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Cyprus,CYP,57.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Cyprus,CYP,56.05796495249495,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Cyprus,CYP,9.9420660163921,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Cyprus,CYP,96.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Cyprus,CYP,0.0,percent of total,2014.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Cyprus,CYP,20.45,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Cyprus,CYP,2.9,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Cyprus,CYP,0.887,index,2019.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Cyprus,CYP,81.7360001,Percentage of total employment,2020.0
57,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Cyprus,CYP,19.64285714,proportion,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Cyprus,CYP,17.29441,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Cyprus,CYP,1.287295,percent of total energy,2014.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Cyprus,CYP,86.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Cyprus,CYP,87.0,"Number (cumulative total by Dec 26,2020)",2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Cyprus,CYP,5.662573,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Cyprus,CYP,31.4,index ,2017.0
67,Environment,Access to electricity ,H1_Public information campaigns,Cyprus,CYP,100.0,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Cyprus,CYP,398000000.0,kWh,2015.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Cyprus,CYP,57.757,Percentage of females of the total population,2020.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Cyprus,CYP,3624.971252771667,kWh per capita,2014.0
78,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Cyprus,CYP,91.21994264284139,percent of total,2015.0
79,Governance,Rule of law estimate ,H1_Public information campaigns,Cyprus,CYP,0.7598994,score,2019.0
83,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Cyprus,CYP,38.0,score,2021.0
85,Demographics,Secure Internet servers ,H1_Public information campaigns,Cyprus,CYP,8221.429614333689,per 1 million people,2019.0
87,Governance,Total freedom in the world score ,H1_Public information campaigns,Cyprus,CYP,94.0,score,2021.0
90,Environment,"Energy imports, net ",H1_Public information campaigns,Cyprus,CYP,94.0267505230889,percent of energy use,2014.0
99,Economics,Unemployment rate (%) - Annual,H1_Public information campaigns,Cyprus,CYP,7.3,percent,2019.0
103,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Cyprus,CYP,100.0,percent of total,2017.0
104,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H1_Public information campaigns,Cyprus,CYP,73191.6,international $ in PPP,2020.0
109,Environment,Electricity production from coal sources ,H1_Public information campaigns,Cyprus,CYP,0.0,percent of total,2015.0
116,Governance,Personal Freedom Score ,H1_Public information campaigns,Cyprus,CYP,8.25,score,2018.0
