rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Estonia,EST,89.5323,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Estonia,EST,1.591124,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Estonia,EST,2.1165412994,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Estonia,EST,324388.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Estonia,EST,20635.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Estonia,EST,0.069427,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Estonia,EST,4.775,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Estonia,EST,0.032599,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Estonia,EST,33.8808,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Estonia,EST,26.83086,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Estonia,EST,13.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Estonia,EST,0.050879,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Estonia,EST,4173.326582571021,kg of oil equivalent per capita,2015.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Estonia,EST,63.2739983,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Estonia,EST,11.1558,Ones,2018.0
18,Social issues ,Net migration,H1_Public information campaigns,Estonia,EST,19555.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Estonia,EST,8.54,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Estonia,EST,3.234,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Estonia,EST,1.174747,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Estonia,EST,36.07,percent,2018.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Estonia,EST,6.8,rate,2018.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Estonia,EST,0.000187,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Estonia,EST,0.167794,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Estonia,EST,1.228760679658251,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Estonia,EST,0.039047,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Estonia,EST,0.6388937,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Estonia,EST,56.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Estonia,EST,147.177,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Estonia,EST,133.6682535890394,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Estonia,EST,4.4833,Ones,2018.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Estonia,EST,7.96,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Estonia,EST,16589.51,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Estonia,EST,6.188799858093262,score,2021.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Estonia,EST,1.210472,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Estonia,EST,16.6645118855401,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Estonia,EST,0.190324,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Estonia,EST,13.05622,percent of total,2015.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Estonia,EST,1.542329,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Estonia,EST,5.37900019,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Estonia,EST,21.2,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Estonia,EST,0.004469,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Estonia,EST,75.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Estonia,EST,38.52345451018706,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Estonia,EST,27.4768334658828,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Estonia,EST,91.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Estonia,EST,0.0,percent of total,2015.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Estonia,EST,12.61,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Estonia,EST,4.9,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Estonia,EST,0.892,index,2019.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Estonia,EST,67.5650024,Percentage of total employment,2020.0
57,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Estonia,EST,28.71287129,proportion,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Estonia,EST,6.732124,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Estonia,EST,12.80269,percent of total energy,2015.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Estonia,EST,88.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Estonia,EST,170.0,"Number (cumulative total by Dec 26,2020)",2020.0
62,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Estonia,EST,5.7,percent,2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Estonia,EST,12.60802,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Estonia,EST,30.4,index ,2017.0
67,Environment,Access to electricity ,H1_Public information campaigns,Estonia,EST,100.0,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Estonia,EST,1475000000.0,kWh,2015.0
69,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Estonia,EST,1.2,percent,2020.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Estonia,EST,56.8089981,Percentage of females of the total population,2020.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Estonia,EST,6732.367473156111,kWh per capita,2014.0
78,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Estonia,EST,7.151771143323414,percent of total,2015.0
79,Governance,Rule of law estimate ,H1_Public information campaigns,Estonia,EST,1.281257,score,2019.0
83,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Estonia,EST,38.0,score,2021.0
85,Demographics,Secure Internet servers ,H1_Public information campaigns,Estonia,EST,83332.45388552605,per 1 million people,2019.0
87,Governance,Total freedom in the world score ,H1_Public information campaigns,Estonia,EST,94.0,score,2021.0
90,Environment,"Energy imports, net ",H1_Public information campaigns,Estonia,EST,-2.705959953898482,percent of energy use,2015.0
103,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Estonia,EST,0.0,percent of total,2017.0
109,Environment,Electricity production from coal sources ,H1_Public information campaigns,Estonia,EST,5.327829509455698,percent of total,2015.0
116,Governance,Personal Freedom Score ,H1_Public information campaigns,Estonia,EST,9.12,score,2018.0
