rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Iran (Islamic Republic of),IRN,70.0046,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-1.423137,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,2.4991683746,"proportion, pero 100,000 people",2014.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Iran (Islamic Republic of),IRN,28954900.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Iran (Islamic Republic of),IRN,1145651.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.066478,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-2.399,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.007306,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Iran (Islamic Republic of),IRN,10.4038,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Iran (Islamic Republic of),IRN,23.79375,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,13.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.054799,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Iran (Islamic Republic of),IRN,3060.387046131211,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,44.3380013,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,2.6286,Ones,2017.0
18,Social issues ,Net migration,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-274998.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,4.53,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Iran (Islamic Republic of),IRN,4.348,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-0.5535024,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Iran (Islamic Republic of),IRN,20.46,percent,2018.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.000305,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.103674,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Iran (Islamic Republic of),IRN,14.42560212091949,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.078518,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-1.698151,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Iran (Islamic Republic of),IRN,10.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Iran (Islamic Republic of),IRN,142.39,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,234.7182183134599,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,1.5844,Ones,2018.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Iran (Islamic Republic of),IRN,4.8,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Iran (Islamic Republic of),IRN,661710.2,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,4.721199989318848,score,2021.0
37,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.1,percent,2019.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-1.370054,score,2019.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.319627,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Iran (Islamic Republic of),IRN,99.02258,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Iran (Islamic Republic of),IRN,-1.047961,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,11.1809998,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Iran (Islamic Republic of),IRN,25.8,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.003523,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Iran (Islamic Republic of),IRN,25.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,83.3866086520676,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,0.913005056748309,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Iran (Islamic Republic of),IRN,99.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Iran (Islamic Republic of),IRN,1.628497245174047,percent of total,2014.0
