rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Libya,LBY,21.7589,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Libya,LBY,-2.346947,score,2019.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Libya,LBY,1576000.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Libya,LBY,93772.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Libya,LBY,0.089081,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Libya,LBY,23.344,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Libya,LBY,0.006456,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Libya,LBY,4.8323,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Libya,LBY,33.3445,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Libya,LBY,59.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Libya,LBY,0.050104,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Libya,LBY,2808.648236406044,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Libya,LBY,49.5779991,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Libya,LBY,6.5305,Ones,2017.0
18,Social issues ,Net migration,H1_Public information campaigns,Libya,LBY,-9997.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Libya,LBY,4.83,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Libya,LBY,-4.732,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Libya,LBY,-1.922143,score,2019.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Libya,LBY,0.000387,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Libya,LBY,0.093715,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Libya,LBY,46.29968445893989,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Libya,LBY,0.059436,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Libya,LBY,-2.565753,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Libya,LBY,8.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Libya,LBY,91.4793,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Libya,LBY,230.1942657316047,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Libya,LBY,2.0905,Ones,2017.0
