rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Uzbekistan,UZB,52.3051,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Uzbekistan,UZB,-0.9932925,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Uzbekistan,UZB,1.1358027751,"proportion, pero 100,000 people",2017.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Uzbekistan,UZB,3553310.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Uzbekistan,UZB,75806.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Uzbekistan,UZB,0.046617,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Uzbekistan,UZB,2.251,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Uzbekistan,UZB,0.004843,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Uzbekistan,UZB,13.9388,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Uzbekistan,UZB,20.70983,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Uzbekistan,UZB,67.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Uzbekistan,UZB,0.031211,percent,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Uzbekistan,UZB,64.9869995,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Uzbekistan,UZB,11.2804,Ones,2014.0
18,Social issues ,Net migration,H1_Public information campaigns,Uzbekistan,UZB,-44314.0,net total / data are 5 year estimates,2019.0
20,Economics,Volume of exports,H1_Public information campaigns,Uzbekistan,UZB,2.276,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Uzbekistan,UZB,-0.514649,score,2019.0
23,Governance,Serious assault (rate),H1_Public information campaigns,Uzbekistan,UZB,4.37,rate,2017.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Uzbekistan,UZB,0.000211,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Uzbekistan,UZB,0.087438,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Uzbekistan,UZB,0.2566340782122905,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Uzbekistan,UZB,0.021128,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Uzbekistan,UZB,-0.2724334,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Uzbekistan,UZB,9.0,score,2021.0
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Uzbekistan,UZB,101.208,per 100 people,2019.0
