rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Comoros,COM,8.47817,percent of population,2019.0
3,Governance,Regulatory quality estimate,H3_Contact tracing,Comoros,COM,-1.119256,score,2019.0
5,Health,Prevalence of COVID-19,H3_Contact tracing,Comoros,COM,643.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Comoros,COM,10042.0,number,2019.0
8,Economics,Volume of imports,H3_Contact tracing,Comoros,COM,5.062,percent change,2020.0
9,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Comoros,COM,20.54682,micrograms per cubic meter,2017.0
10,Health,Prevalence of total cancers,H3_Contact tracing,Comoros,COM,0.003249,percent,2019.0
11,Health,Prevalence of Depressive disorders,H3_Contact tracing,Comoros,COM,0.039743,percent,2019.0
13,Health,Summary exposure value tobacco,H3_Contact tracing,Comoros,COM,14.98029,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Comoros,COM,0.049025,percent,2019.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Comoros,COM,0.129982,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Comoros,COM,4.22248670935332,percent of GNI,2018.0
17,Governance,Fragile States Index Total ,H3_Contact tracing,Comoros,COM,81.24901232562686,score,2020.0
19,Environment,Renewable energy consumption ,H3_Contact tracing,Comoros,COM,45.3330523920407,percent of total final energy consumption,2015.0
21,Social issues ,Net migration,H3_Contact tracing,Comoros,COM,-10000.0,net total / data are 5 year estimates,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",H3_Contact tracing,Comoros,COM,91.0,percent,2019.0
23,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,Comoros,COM,35.0,Cases,2019.0
24,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Comoros,COM,43.3959999,Percentage of total population,2020.0
26,Health,Prevalence of down syndrome,H3_Contact tracing,Comoros,COM,0.000128,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Comoros,COM,36.75,Percentage of females of the total population,2020.0
28,Health,Prevalence of anxiety disorders,H3_Contact tracing,Comoros,COM,0.036123,percent,2019.0
29,Social issues ,Press freedom score,H3_Contact tracing,Comoros,COM,29.77,score,2020.0
32,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Comoros,COM,-0.1486754,score,2019.0
34,Governance,Voice and accountability estimate,H3_Contact tracing,Comoros,COM,-0.6893845,score,2019.0
35,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Comoros,COM,90.0,percent,2019.0
38,Governance,Human Development Index,H3_Contact tracing,Comoros,COM,0.554,index,2019.0
39,Governance,Total freedom in the world score ,H3_Contact tracing,Comoros,COM,42.0,score,2021.0
40,Health,Mortality due to COVID-19,H3_Contact tracing,Comoros,COM,7.0,"Number (cumulative total by Dec 26,2020)",2020.0
41,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Comoros,COM,25.56,percent,2014.0
42,Governance,Government effectiveness estimate,H3_Contact tracing,Comoros,COM,-1.669198,score,2019.0
43,Health,Prevalence of Diabetes,H3_Contact tracing,Comoros,COM,0.023769,percent,2019.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Comoros,COM,9.6,percent,2020.0
47,Environment,CO2 emissions (kt),H3_Contact tracing,Comoros,COM,201.685,kt,2016.0
48,Governance,Corruption Perceptions Index,H3_Contact tracing,Comoros,COM,21.0,score,2020.0
50,Governance,Control of corruption estimate,H3_Contact tracing,Comoros,COM,-1.02035,score,2019.0
51,Economics,Volume of exports,H3_Contact tracing,Comoros,COM,4.079,percent change,2020.0
52,Social issues ,Life Ladder ,H3_Contact tracing,Comoros,COM,4.288599967956543,score,2021.0
