rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Greece,GRC,75.6712,percent of population,2019.0
3,Governance,Regulatory quality estimate,H3_Contact tracing,Greece,GRC,0.529879,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,Greece,GRC,0.94086394499,"proportion, pero 100,000 people",2018.0
5,Health,Prevalence of COVID-19,H3_Contact tracing,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Greece,GRC,5001510.0,number,2019.0
8,Economics,Volume of imports,H3_Contact tracing,Greece,GRC,4.774,percent change,2020.0
9,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Greece,GRC,16.21827,micrograms per cubic meter,2017.0
10,Health,Prevalence of total cancers,H3_Contact tracing,Greece,GRC,0.035651,percent,2019.0
11,Health,Prevalence of Depressive disorders,H3_Contact tracing,Greece,GRC,0.065221,percent,2019.0
12,Environment,Energy use (kg of oil equivalent per capita),H3_Contact tracing,Greece,GRC,2182.071093458824,kg of oil equivalent per capita,2015.0
13,Health,Summary exposure value tobacco,H3_Contact tracing,Greece,GRC,34.63954,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Greece,GRC,0.146722,percent,2019.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Greece,GRC,39.3195,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Greece,GRC,-1.72419681743416,percent of GNI,2018.0
17,Governance,Fragile States Index Total ,H3_Contact tracing,Greece,GRC,52.14869722028766,score,2020.0
18,Environment,Electric power consumption ,H3_Contact tracing,Greece,GRC,5062.606421552323,kWh per capita,2014.0
19,Environment,Renewable energy consumption ,H3_Contact tracing,Greece,GRC,17.170047546133,percent of total final energy consumption,2015.0
20,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Greece,GRC,8752000000.0,kWh,2015.0
21,Social issues ,Net migration,H3_Contact tracing,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",H3_Contact tracing,Greece,GRC,99.0,percent,2019.0
23,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,Greece,GRC,4.3,Cases,2019.0
24,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Greece,GRC,51.401001,Percentage of total population,2020.0
25,Governance,Economic Freedom Score,H3_Contact tracing,Greece,GRC,6.71,score,2018.0
26,Health,Prevalence of down syndrome,H3_Contact tracing,Greece,GRC,0.000582,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Greece,GRC,43.9070015,Percentage of females of the total population,2020.0
28,Health,Prevalence of anxiety disorders,H3_Contact tracing,Greece,GRC,0.063919,percent,2019.0
29,Social issues ,Press freedom score,H3_Contact tracing,Greece,GRC,28.8,score,2020.0
31,Governance,Human Freedom Score ,H3_Contact tracing,Greece,GRC,7.38,score,2018.0
32,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Greece,GRC,0.2909985,score,2019.0
33,Environment,Electricity production from coal sources ,H3_Contact tracing,Greece,GRC,42.65948824823434,percent of total,2015.0
34,Governance,Voice and accountability estimate,H3_Contact tracing,Greece,GRC,0.9357267,score,2019.0
35,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Greece,GRC,97.0,percent,2019.0
36,Environment,Electricity production from oil sources,H3_Contact tracing,Greece,GRC,10.9277912855544,percent of total,2015.0
37,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Greece,GRC,0.0,percent of total,2015.0
38,Governance,Human Development Index,H3_Contact tracing,Greece,GRC,0.888,index,2019.0
39,Governance,Total freedom in the world score ,H3_Contact tracing,Greece,GRC,87.0,score,2021.0
40,Health,Mortality due to COVID-19,H3_Contact tracing,Greece,GRC,4044.0,"Number (cumulative total by Dec 26,2020)",2020.0
41,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Greece,GRC,27.48,percent,2018.0
42,Governance,Government effectiveness estimate,H3_Contact tracing,Greece,GRC,0.4055903,score,2019.0
43,Health,Prevalence of Diabetes,H3_Contact tracing,Greece,GRC,0.094243,percent,2019.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Greece,GRC,13.9,percent,2020.0
46,Environment,Combustible renewables and waste,H3_Contact tracing,Greece,GRC,5.164537,percent of total energy,2015.0
47,Environment,CO2 emissions (kt),H3_Contact tracing,Greece,GRC,62434.34,kt,2016.0
48,Governance,Corruption Perceptions Index,H3_Contact tracing,Greece,GRC,50.0,score,2020.0
49,Environment,Energy use ,H3_Contact tracing,Greece,GRC,77.78831330115128,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
50,Governance,Control of corruption estimate,H3_Contact tracing,Greece,GRC,-0.0118192,score,2019.0
51,Economics,Volume of exports,H3_Contact tracing,Greece,GRC,5.416,percent change,2020.0
52,Social issues ,Life Ladder ,H3_Contact tracing,Greece,GRC,5.722599983215332,score,2021.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H3_Contact tracing,Greece,GRC,15.474,percent of total labor force,2020.0
57,Health,Prevalence of obesity,H3_Contact tracing,Greece,GRC,24.9,percent,2016.0
