rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Jamaica,JAM,55.0721,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),H3_Contact tracing,Jamaica,JAM,87.3126001706103,proportion,2017.0
3,Governance,Regulatory quality estimate,H3_Contact tracing,Jamaica,JAM,0.167549,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,Jamaica,JAM,43.852281528,"proportion, pero 100,000 people",2018.0
5,Health,Prevalence of COVID-19,H3_Contact tracing,Jamaica,JAM,12039.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Jamaica,JAM,398048.0,number,2019.0
8,Economics,Volume of imports,H3_Contact tracing,Jamaica,JAM,4.929,percent change,2020.0
9,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Jamaica,JAM,13.40415,micrograms per cubic meter,2017.0
10,Health,Prevalence of total cancers,H3_Contact tracing,Jamaica,JAM,0.01371,percent,2019.0
11,Health,Prevalence of Depressive disorders,H3_Contact tracing,Jamaica,JAM,0.034368,percent,2019.0
12,Environment,Energy use (kg of oil equivalent per capita),H3_Contact tracing,Jamaica,JAM,976.8584859985754,kg of oil equivalent per capita,2014.0
13,Health,Summary exposure value tobacco,H3_Contact tracing,Jamaica,JAM,17.7571,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Jamaica,JAM,0.097819,percent,2019.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Jamaica,JAM,10.7828,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Jamaica,JAM,17.4718930874822,percent of GNI,2018.0
17,Governance,Fragile States Index Total ,H3_Contact tracing,Jamaica,JAM,60.02494703870308,score,2020.0
18,Environment,Electric power consumption ,H3_Contact tracing,Jamaica,JAM,1050.732904460867,kWh per capita,2014.0
19,Environment,Renewable energy consumption ,H3_Contact tracing,Jamaica,JAM,16.7719074601531,percent of total final energy consumption,2015.0
20,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Jamaica,JAM,294000000.0,kWh,2015.0
21,Social issues ,Net migration,H3_Contact tracing,Jamaica,JAM,-56658.0,net total / data are 5 year estimates,2019.0
22,Health,"Immunization, DPT (% of children ages 12-23 months)",H3_Contact tracing,Jamaica,JAM,96.0,percent,2019.0
23,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,Jamaica,JAM,3.2,Cases,2019.0
24,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Jamaica,JAM,66.1849976,Percentage of total population,2020.0
25,Governance,Economic Freedom Score,H3_Contact tracing,Jamaica,JAM,7.69,score,2018.0
26,Health,Prevalence of down syndrome,H3_Contact tracing,Jamaica,JAM,0.000304,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Jamaica,JAM,59.9860001,Percentage of females of the total population,2020.0
28,Health,Prevalence of anxiety disorders,H3_Contact tracing,Jamaica,JAM,0.04473,percent,2019.0
29,Social issues ,Press freedom score,H3_Contact tracing,Jamaica,JAM,10.51,score,2020.0
30,Demographics,Rural population (% of total population),H3_Contact tracing,Jamaica,JAM,44.015,proportion,2019.0
31,Governance,Human Freedom Score ,H3_Contact tracing,Jamaica,JAM,7.44,score,2018.0
32,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Jamaica,JAM,0.4143164,score,2019.0
33,Environment,Electricity production from coal sources ,H3_Contact tracing,Jamaica,JAM,0.0,percent of total,2015.0
34,Governance,Voice and accountability estimate,H3_Contact tracing,Jamaica,JAM,0.6409134,score,2019.0
35,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Jamaica,JAM,94.0,percent,2019.0
36,Environment,Electricity production from oil sources,H3_Contact tracing,Jamaica,JAM,89.73799126637554,percent of total,2015.0
37,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Jamaica,JAM,0.0,percent of total,2014.0
38,Governance,Human Development Index,H3_Contact tracing,Jamaica,JAM,0.734,index,2019.0
39,Governance,Total freedom in the world score ,H3_Contact tracing,Jamaica,JAM,80.0,score,2021.0
40,Health,Mortality due to COVID-19,H3_Contact tracing,Jamaica,JAM,283.0,"Number (cumulative total by Dec 26,2020)",2020.0
41,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Jamaica,JAM,56.69,percent,2017.0
42,Governance,Government effectiveness estimate,H3_Contact tracing,Jamaica,JAM,0.4958208,score,2019.0
43,Health,Prevalence of Diabetes,H3_Contact tracing,Jamaica,JAM,0.095821,percent,2019.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Jamaica,JAM,6.8,percent,2020.0
