rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Brazil,BRA,67.4713,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Brazil,BRA,0.315219,percent,2019.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Brazil,BRA,11.9659996,percent of total labor force,2020.0
4,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Brazil,BRA,10.119,Ones,2018.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Brazil,BRA,7110434.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Governance,Personal Freedom Score ,H6_Facial Coverings,Brazil,BRA,7.1,score,2018.0
7,Governance,Regulatory quality estimate,H6_Facial Coverings,Brazil,BRA,-0.177794,score,2019.0
8,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Brazil,BRA,4.0,percent,2018.0
9,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Brazil,BRA,0.04285,percent,2019.0
10,Health,Prevalence of total cancers,H6_Facial Coverings,Brazil,BRA,0.008669,percent,2019.0
11,Governance,Total freedom in the world score ,H6_Facial Coverings,Brazil,BRA,74.0,score,2021.0
12,Environment,CO2 emissions (kt),H6_Facial Coverings,Brazil,BRA,462298.7,kt,2016.0
13,Environment,Renewable energy consumption ,H6_Facial Coverings,Brazil,BRA,43.7903891971588,percent of total final energy consumption,2015.0
14,Environment,Energy use (kg of oil equivalent per capita),H6_Facial Coverings,Brazil,BRA,1495.541207109842,kg of oil equivalent per capita,2014.0
15,Governance,Economic Freedom Score,H6_Facial Coverings,Brazil,BRA,6.56,score,2018.0
16,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Brazil,BRA,15.4293,per 100 people,2019.0
17,Social issues ,Net migration,H6_Facial Coverings,Brazil,BRA,106000.0,net total / data are 5 year estimates,2019.0
18,Governance,Corruption Perceptions Index,H6_Facial Coverings,Brazil,BRA,38.0,score,2020.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Brazil,BRA,7.3,percent,2020.0
20,Environment,Electricity production from oil sources,H6_Facial Coverings,Brazil,BRA,5.04425326483877,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Brazil,BRA,71.2890015,Percentage of total employment,2020.0
22,Environment,Energy use ,H6_Facial Coverings,Brazil,BRA,94.98909014961389,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
23,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Brazil,BRA,0.083485,percent,2019.0
24,Environment,Electricity production from coal sources ,H6_Facial Coverings,Brazil,BRA,4.722411338738628,percent of total,2015.0
25,Demographics,Secure Internet servers ,H6_Facial Coverings,Brazil,BRA,2740.911141677186,per 1 million people,2019.0
26,Economics,Volume of exports,H6_Facial Coverings,Brazil,BRA,3.894,percent change,2020.0
27,Environment,Electric power consumption ,H6_Facial Coverings,Brazil,BRA,2619.960615738312,kWh per capita,2014.0
28,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Brazil,BRA,2.603567927591759,percent of total,2014.0
29,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Brazil,BRA,43.0,score,2021.0
30,Health,Prevalence of down syndrome,H6_Facial Coverings,Brazil,BRA,0.000282,percent,2019.0
31,Health,Prevalence of Diabetes,H6_Facial Coverings,Brazil,BRA,0.061429,percent,2019.0
32,Demographics,Urban population (% of total population),H6_Facial Coverings,Brazil,BRA,86.824,total,2019.0
33,Economics,Volume of imports,H6_Facial Coverings,Brazil,BRA,3.925,percent change,2020.0
35,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Brazil,BRA,3.31179090266738,percent of GNI,2018.0
36,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Brazil,BRA,14.61988304,proportion,2020.0
37,Social issues ,Life Ladder ,H6_Facial Coverings,Brazil,BRA,6.330100059509277,score,2021.0
38,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Brazil,BRA,27.382530291,"proportion, pero 100,000 people",2018.0
39,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Brazil,BRA,59.10753,percent of total,2014.0
40,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Brazil,BRA,63.7070007,Percentage of total population,2020.0
41,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Brazil,BRA,0.083093,percent,2019.0
42,Health,Mortality due to COVID-19,H6_Facial Coverings,Brazil,BRA,184827.0,"Number (cumulative total by Dec 26,2020)",2020.0
43,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Brazil,BRA,12.70663,micrograms per cubic meter,2017.0
44,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Brazil,BRA,39.59,percent,2018.0
45,Health,Prevalence of obesity,H6_Facial Coverings,Brazil,BRA,22.1,percent,2016.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",H6_Facial Coverings,Brazil,BRA,0.5,percent,2019.0
47,Environment,Combustible renewables and waste,H6_Facial Coverings,Brazil,BRA,20.35314,percent of total energy,2014.0
48,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Brazil,BRA,0.001848,percent,2019.0
49,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Brazil,BRA,54.0460014,Percentage of females of the total population,2020.0
50,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Brazil,BRA,46.0,Cases,2019.0
51,Social issues ,Press freedom score,H6_Facial Coverings,Brazil,BRA,34.05,score,2020.0
52,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Brazil,BRA,31.0,score,2021.0
53,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Brazil,BRA,2.242393,metric tons per capita,2016.0
54,Governance,Serious assault (rate),H6_Facial Coverings,Brazil,BRA,274.32,rate,2018.0
55,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Brazil,BRA,98.8435,per 100 people,2019.0
56,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Brazil,BRA,70487000000.0,kWh,2015.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Brazil,BRA,73.0,percent,2019.0
58,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Brazil,BRA,33701000.0,number,2019.0
59,Demographics,Rural population (% of total population),H6_Facial Coverings,Brazil,BRA,13.176,proportion,2019.0
60,Health,Summary exposure value tobacco,H6_Facial Coverings,Brazil,BRA,20.37034,Rate (risk-weighted prevalence),2019.0
61,Demographics,"Age dependency ratio, old (% of working-age population)",H6_Facial Coverings,Brazil,BRA,13.26600860168134,proportion,2019.0
62,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Brazil,BRA,23.43291177542585,percent of total,2015.0
63,Governance,Fragile States Index Total ,H6_Facial Coverings,Brazil,BRA,72.99411372588226,score,2020.0
65,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Brazil,BRA,-0.5464811,score,2019.0
66,Governance,Control of corruption estimate,H6_Facial Coverings,Brazil,BRA,-0.3339985,score,2019.0
67,Environment,"Energy imports, net ",H6_Facial Coverings,Brazil,BRA,11.870133377942,percent of energy use,2014.0
68,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Brazil,BRA,53.9,index ,2018.0
69,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Brazil,BRA,2.1643,Ones,2018.0
70,Demographics,People using at least basic sanitation services (% of population),H6_Facial Coverings,Brazil,BRA,88.2938494055597,proportion,2017.0
71,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Brazil,BRA,68.1350300575805,percent of total,2017.0
72,Governance,Human Freedom Score ,H6_Facial Coverings,Brazil,BRA,6.83,score,2018.0
74,Demographics,Refugee population by country or territory of asylum,H6_Facial Coverings,Brazil,BRA,32844.0,proportion,2019.0
75,Economics,"Central government debt, total",H6_Facial Coverings,Brazil,BRA,73.41880380967594,percent of GDP,2016.0
76,Environment,Access to electricity ,H6_Facial Coverings,Brazil,BRA,100.0,percent of population,2018.0
77,Governance,Voice and accountability estimate,H6_Facial Coverings,Brazil,BRA,0.3444251,score,2019.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Brazil,BRA,-0.180904,score,2019.0
83,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Brazil,BRA,6.1,percent,2020.0
87,Demographics,"Population, total",H6_Facial Coverings,Brazil,BRA,211049527.0,total,2019.0
88,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Brazil,BRA,91.0,percent,2019.0
90,Governance,Government effectiveness estimate,H6_Facial Coverings,Brazil,BRA,-0.186738,score,2019.0
95,Governance,Human Development Index,H6_Facial Coverings,Brazil,BRA,0.765,index,2019.0
99,Demographics,Age dependency ratio (% of working-age population),H6_Facial Coverings,Brazil,BRA,43.39138180058507,proportion,2019.0
110,Social issues ,Coverage of social safety net programs (% of population),H6_Facial Coverings,Brazil,BRA,22.27975361,proportion,2018.0
111,Social issues ,Coverage of unemployment benefits and ALMP (% of population),H6_Facial Coverings,Brazil,BRA,1.849361482,proportion,2018.0
112,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",H6_Facial Coverings,Brazil,BRA,16.5433902740479,proportion,2018.0
113,Health,Hospital beds (per 10 000 population),H6_Facial Coverings,Brazil,BRA,20.9,Ones,2017.0
114,Social issues ,Proportion of people living below 50 percent of median income (%),H6_Facial Coverings,Brazil,BRA,23.6,proportion,2018.0
116,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",H6_Facial Coverings,Brazil,BRA,93.2275009155273,proportion,2018.0
