rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Switzerland,CHE,93.1461,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Switzerland,CHE,0.116253,percent,2019.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Switzerland,CHE,4.84899998,percent of total labor force,2020.0
4,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Switzerland,CHE,17.5357,Ones,2017.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Switzerland,CHE,402264.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Governance,Personal Freedom Score ,H6_Facial Coverings,Switzerland,CHE,9.2,score,2018.0
7,Governance,Regulatory quality estimate,H6_Facial Coverings,Switzerland,CHE,1.664479,score,2019.0
8,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Switzerland,CHE,3.7,percent,2018.0
9,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Switzerland,CHE,0.047157,percent,2019.0
10,Health,Prevalence of total cancers,H6_Facial Coverings,Switzerland,CHE,0.035822,percent,2019.0
11,Governance,Total freedom in the world score ,H6_Facial Coverings,Switzerland,CHE,96.0,score,2021.0
12,Environment,CO2 emissions (kt),H6_Facial Coverings,Switzerland,CHE,34477.13,kt,2016.0
13,Environment,Renewable energy consumption ,H6_Facial Coverings,Switzerland,CHE,25.2919836825127,percent of total final energy consumption,2015.0
14,Environment,Energy use (kg of oil equivalent per capita),H6_Facial Coverings,Switzerland,CHE,2960.073389391186,kg of oil equivalent per capita,2015.0
15,Governance,Economic Freedom Score,H6_Facial Coverings,Switzerland,CHE,8.43,score,2018.0
16,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Switzerland,CHE,45.2082,per 100 people,2019.0
17,Social issues ,Net migration,H6_Facial Coverings,Switzerland,CHE,259999.0,net total / data are 5 year estimates,2019.0
18,Governance,Corruption Perceptions Index,H6_Facial Coverings,Switzerland,CHE,85.0,score,2020.0
20,Environment,Electricity production from oil sources,H6_Facial Coverings,Switzerland,CHE,0.0680817586274717,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Switzerland,CHE,77.1600037,Percentage of total employment,2020.0
22,Environment,Energy use ,H6_Facial Coverings,Switzerland,CHE,44.73993210704257,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
23,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Switzerland,CHE,0.114368,percent,2019.0
24,Environment,Electricity production from coal sources ,H6_Facial Coverings,Switzerland,CHE,0.0,percent of total,2015.0
25,Demographics,Secure Internet servers ,H6_Facial Coverings,Switzerland,CHE,95788.23235254055,per 1 million people,2019.0
26,Economics,Volume of exports,H6_Facial Coverings,Switzerland,CHE,4.137,percent change,2020.0
