rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Jordan,JOR,66.7903,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Jordan,JOR,0.068178,percent,2019.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Jordan,JOR,14.6129999,percent of total labor force,2020.0
4,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Jordan,JOR,2.8212,Ones,2018.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Governance,Personal Freedom Score ,H6_Facial Coverings,Jordan,JOR,6.21,score,2018.0
7,Governance,Regulatory quality estimate,H6_Facial Coverings,Jordan,JOR,0.0346094,score,2019.0
8,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Jordan,JOR,3.8,percent,2018.0
9,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Jordan,JOR,0.041946,percent,2019.0
10,Health,Prevalence of total cancers,H6_Facial Coverings,Jordan,JOR,0.005894,percent,2019.0
11,Governance,Total freedom in the world score ,H6_Facial Coverings,Jordan,JOR,34.0,score,2021.0
12,Environment,CO2 emissions (kt),H6_Facial Coverings,Jordan,JOR,25107.95,kt,2016.0
13,Environment,Renewable energy consumption ,H6_Facial Coverings,Jordan,JOR,3.22917004202291,percent of total final energy consumption,2015.0
14,Environment,Energy use (kg of oil equivalent per capita),H6_Facial Coverings,Jordan,JOR,916.9928326626906,kg of oil equivalent per capita,2014.0
15,Governance,Economic Freedom Score,H6_Facial Coverings,Jordan,JOR,7.62,score,2018.0
16,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Jordan,JOR,4.65247,per 100 people,2019.0
17,Social issues ,Net migration,H6_Facial Coverings,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
18,Governance,Corruption Perceptions Index,H6_Facial Coverings,Jordan,JOR,49.0,score,2020.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Jordan,JOR,7.1,percent,2020.0
20,Environment,Electricity production from oil sources,H6_Facial Coverings,Jordan,JOR,50.58903965499106,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Jordan,JOR,72.5999985,Percentage of total employment,2020.0
22,Environment,Energy use ,H6_Facial Coverings,Jordan,JOR,89.1733987991687,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
23,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Jordan,JOR,0.078386,percent,2019.0
24,Environment,Electricity production from coal sources ,H6_Facial Coverings,Jordan,JOR,0.0,percent of total,2015.0
25,Demographics,Secure Internet servers ,H6_Facial Coverings,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
26,Economics,Volume of exports,H6_Facial Coverings,Jordan,JOR,4.933,percent change,2020.0
27,Environment,Electric power consumption ,H6_Facial Coverings,Jordan,JOR,1864.675855480166,kWh per capita,2014.0
28,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Jordan,JOR,0.0,percent of total,2014.0
29,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Jordan,JOR,23.0,score,2021.0
30,Health,Prevalence of down syndrome,H6_Facial Coverings,Jordan,JOR,0.000408,percent,2019.0
31,Health,Prevalence of Diabetes,H6_Facial Coverings,Jordan,JOR,0.057381,percent,2019.0
33,Economics,Volume of imports,H6_Facial Coverings,Jordan,JOR,2.242,percent change,2020.0
35,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Jordan,JOR,3.29239824018849,percent of GNI,2018.0
36,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Jordan,JOR,15.38461538,proportion,2020.0
37,Social issues ,Life Ladder ,H6_Facial Coverings,Jordan,JOR,4.394599914550781,score,2021.0
38,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Jordan,JOR,1.3591066275,"proportion, pero 100,000 people",2017.0
39,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Jordan,JOR,97.60845,percent of total,2014.0
40,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Jordan,JOR,39.1899986,Percentage of total population,2020.0
41,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Jordan,JOR,0.053733,percent,2019.0
42,Health,Mortality due to COVID-19,H6_Facial Coverings,Jordan,JOR,3518.0,"Number (cumulative total by Dec 26,2020)",2020.0
43,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Jordan,JOR,33.00608,micrograms per cubic meter,2017.0
45,Health,Prevalence of obesity,H6_Facial Coverings,Jordan,JOR,35.5,percent,2016.0
47,Environment,Combustible renewables and waste,H6_Facial Coverings,Jordan,JOR,0.061775,percent of total energy,2014.0
48,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Jordan,JOR,0.003102,percent,2019.0
49,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Jordan,JOR,14.4040003,Percentage of females of the total population,2020.0
50,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Jordan,JOR,5.5,Cases,2019.0
51,Social issues ,Press freedom score,H6_Facial Coverings,Jordan,JOR,42.08,score,2020.0
52,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Jordan,JOR,11.0,score,2021.0
53,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Jordan,JOR,2.628701,metric tons per capita,2016.0
55,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Jordan,JOR,77.0046,per 100 people,2019.0
56,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Jordan,JOR,131000000.0,kWh,2015.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Jordan,JOR,89.0,percent,2019.0
58,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Jordan,JOR,356046.0,number,2019.0
60,Health,Summary exposure value tobacco,H6_Facial Coverings,Jordan,JOR,37.85658,Rate (risk-weighted prevalence),2019.0
62,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Jordan,JOR,99.03229199537184,percent of total,2015.0
63,Governance,Fragile States Index Total ,H6_Facial Coverings,Jordan,JOR,75.42853052941282,score,2020.0
65,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Jordan,JOR,-0.3578623,score,2019.0
66,Governance,Control of corruption estimate,H6_Facial Coverings,Jordan,JOR,0.1279795,score,2019.0
67,Environment,"Energy imports, net ",H6_Facial Coverings,Jordan,JOR,96.81229729348095,percent of energy use,2014.0
69,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Jordan,JOR,2.3237,Ones,2017.0
71,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Jordan,JOR,100.0,percent of total,2017.0
72,Governance,Human Freedom Score ,H6_Facial Coverings,Jordan,JOR,6.92,score,2018.0
75,Economics,"Central government debt, total",H6_Facial Coverings,Jordan,JOR,74.0718607324365,percent of GDP,2016.0
76,Environment,Access to electricity ,H6_Facial Coverings,Jordan,JOR,99.9,percent of population,2018.0
77,Governance,Voice and accountability estimate,H6_Facial Coverings,Jordan,JOR,-0.6650451,score,2019.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Jordan,JOR,0.1439575,score,2019.0
83,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Jordan,JOR,7.3,percent,2020.0
88,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Jordan,JOR,87.0,percent,2019.0
90,Governance,Government effectiveness estimate,H6_Facial Coverings,Jordan,JOR,0.0994703,score,2019.0
95,Governance,Human Development Index,H6_Facial Coverings,Jordan,JOR,0.729,index,2019.0
